smiles,Mol Wt.,R3 fmla,text
CCCCN1C(=O)C(C)N=C(c2cc(ccc12)[N+](=O)[O-])C3CCCCC3,357.4599915,NO2-,I have partial seizures. I was on Zonegran which made me severely depressed. I switched to Lamictal XR one tablet in am & 2 @ bedtime. I had another seizure about two weeks ago. Dr.'s since then raised my Lamictal XR to 2 tabs in the am & 2 tabs @ bedtime. We will see how that works. I am starting to get the smell AGAIN right before I have another seizure. No weight gain and no depression with this medication. Time will tell....
CC(C)CCN1C(=O)C(C)N=C(c2cc(ccc12)[N+](=O)[O-])C3CCCCC3,371.4800110,NO2-,"I have only been taking for 1 1/2 months cannot see any results yet, but everything I eat or drink taste like baking soda?"
CC1N=C(c2cc(ccc2N(CC3CCCCC3)C1=O)[N+](=O)[O-])C4CCCCC4,397.5199890,NO2-,This medication changed my life for the better. It helped me so much! Thank you to the people who developed it. 
CC1N=C(c2ccccc2)c3ccccc3NC1=O,250.3000031,H-,"the fungal disease of the nail has cleared up but I have gotten red blotches over my arms, legs and face.  are these the side effects of this drug?"
CC1N=C(c2ccccc2)c3ccccc3N(C)C1=O,264.3299866,H-,"I went on this medication about 6 months ago, on a small dose in a starter pack.  My seizures dropped suddenly and very precipitously.  By the time I had finished the starter pack I was completely seizure free.  I went from having 6-8 complex partial seizures a day to NONE in 5 months!"
CCCCN1C(=O)C(C)N=C(c2ccccc2)c3ccccc13,306.4100037,H-,"I have used the 90-day Lamisil regimen on three occasions in the last ten years with no significant side effects.  Each time the fungus cleared up nicely within six months, but always returned about a year later.  I am now searching for a more effective long term cure."
CC(C)CCN1C(=O)C(C)N=C(c2ccccc2)c3ccccc13,320.4400024,H-,I stopped taking Lamictal over a year ago.. Cold turkey. And let me tell you what it's been one mental ride. I have been stuck in my own little world and nothing has seemed real. Can somebody please tell me what can happen after this long of not doing anything about it.? This is my first time really trying to find help. 
CC1N=C(c2ccccc2)c3ccccc3N(CC4CCCCC4)C1=O,346.4800110,H-,"caused nausea, blurry vision, extreme headaches and appetite loss.
this med was to transition me from depakote/ valproic acid (1500mg daily) to a gradual higher dose of lamictal whilst still taking depakote. I only took it for a week my side effects were too unbearable."
CC1N=C(c2ccccc2)c3cc(Cl)ccc3NC1=O,284.7500000,Cl-,"I have been on the brand name lamictal now for four months. I began at 25 mg and have since moved up to 100 mg daily, a dose that I have been on for just over a month now.  I also take 150 mg Wellbutrin daily.  This combination seems to be working for me.  This is the first medication I have ever taken that has not given me side effects and that in itself makes a wonder drug for me!!  Taking this medication in conjunction with cognitive therapy is now a lifestyle for me and has improved my quality of life dramatically.  I experienced slight weight gain after the first month, but have since been able to maintain my weight through diet and exercise, something i was unable to do while on prozac (which caused horrible weight gain for me).  Both the generic and brand name lamictal are expensive.  if you do not have prescription insurance, go to www.bridgestoaccess.com and see if you qualify for GSK's help.  I qualified and now receive the brand name for free.  This program also includes many other GSK drugs so it is well worth looking into. (I receive my wellbutrin for free as well).  I wish others much success in their endeavour to maintain their bipolar disorder as well."
CC1N=C(c2ccccc2)c3cc(Cl)ccc3N(C)C1=O,298.7699890,Cl-,"very difficult abdominal pain, nauseua etc."
CCCCN1C(=O)C(C)N=C(c2ccccc2)c3cc(Cl)ccc13,340.8599854,Cl-,I've had a more stable mood on a lower dose but am noe experincing rapid fluctuation in mood levels.
CC(C)CCN1C(=O)C(C)N=C(c2ccccc2)c3cc(Cl)ccc13,354.8800049,Cl-,"helped me to lower ammonia levels but found too much diareha, and much thirst.  weaknes a definite."
CC1N=C(c2ccccc2)c3cc(Cl)ccc3N(CC4CCCCC4)C1=O,380.9200134,Cl-,"I had one grand mall seizure almost 4 yrs ago, it was out of the blue with no apparent
reason why.  I have been taking this medication for almost 4 years and have had to side effects and no more seizures"
CC1N=C(c2ccccc2)c3cc(C#N)ccc3NC1=O,275.3099976,CN-,I have had great success with this medication! It totally changed my life. I don't have the feeling of impending doom and the constant panic attacks are gone. The extreme mania never occurs. I haven't experienced any side effects. I've been on 500mg for going on 5 years. I do think I may need to increase the dose doe the first time in years. I'm beginning to experience a slight lack of wanting to engage in anything again. Not motivated to do the things I need to do. Even calling the doctor to make the appointment seems like a major undertaking  Procrastination to say the least. But that's only been recently. Bieber I do have hippie today that I NEVER had. I thank God for this dru . It saved my life! 
CC1N=C(c2ccccc2)c3cc(C#N)ccc3N(C)C1=O,289.3399963,CN-,"I have used Lamictal since 1999, and I have noticed that it does seem to prevent me from having huge mood swings. I can tell a difference when I miss a dose, because the next day, my equilibrium is way off. I am thankful for this drug. "
CCCCN1C(=O)C(C)N=C(c2ccccc2)c3cc(C#N)ccc13,331.4200134,CN-,"I'm currently taking Lithium for BPD2 and my Dr suggested this in hopes of coming off Lithium for good.  I followed RX and took 25 mg for first 2 weeks, then up to 50 mg after that.  After 5 weeks, went back to Dr and read him my journal entries of my suicidal thoughts and plan-of-action I was having (3 instances in 5 weeks), and I hadn't had suicidal thoughts in over 8 months!!  Dr pulled me off immediately.  Sticking with Lithium to level-off the horrible thoughts I was having!  Never again thank-you! "
CC(C)CCN1C(=O)C(C)N=C(c2ccccc2)c3cc(C#N)ccc13,345.4500122,CN-,I use to take seroquel and was doing quite well on it but the weight gain was getting outta control. So the Doc gave me lamictal. I REALLY miss the regular sleep I use to get takin' seroquel. My moods are pretty good these days..just sleep is terrible.
CC1N=C(c2ccccc2)c3cc(C#N)ccc3N(CC4CCCCC4)C1=O,371.4899902,CN-,I have never written a review of anything in my life but I can't say enough about this drug and I wanted other people who are bipolar to benefit.  You can start at a low dose and work your way up gradually.  Lamictal prevented me from backsliding further into my depression and brought me out of it.  I am not depressed and feeling stable for the first time in five months.  Please try this drug and I hope it works for you!
CC1N=C(c2ccccc2)c3cc(ccc3NC1=O)N(C)C,293.3699951,C2H6N-,it works most of the time
CC1N=C(c2ccccc2)c3cc(ccc3N(C)C1=O)N(C)C,307.3999939,C2H6N-,"AMAZING DRUG!!!! I'm on a lot of it though. I'm on 200mg in the mornig, and 200mg in the evening. It took me a really long time to get to that dose, but it is amazing for me. I'm extremely bipolar. My therapist said I was the worst case she had ever seen, and she has been a therapist for 17 years.  I'm bipolar # 2. MAYJOR DEPRESSION. I was almost hospitalized for being so depressed. Now since being on Lamictal, I ACTUALLY FEEL NORMAL! I have never been normal in my life! NEVER! It's like I'm a child, and learning how to have health emotions! I thank God for this drug! I hope it works for you! "
CCCCN1C(=O)C(C)N=C(c2ccccc2)c3cc(ccc13)N(C)C,349.4800110,C2H6N-,I think it makes my hair fall out
CC(C)CCN1C(=O)C(C)N=C(c2ccccc2)c3cc(ccc13)N(C)C,363.5100098,C2H6N-,"It has been a wonderful past 13 years. Lamital, is the greatest drug on the market today, and I have been on everything since birth. I was born in 8 months and weighed 3 lbs. in 1964"" a miracle baby.  I spent a year in the hospital. I've taking from 2 pills to as many as 17 pills a day as I did during high school, college..."
CC1N=C(c2ccccc2)c3cc(ccc3N(CC4CCCCC4)C1=O)N(C)C,389.5499878,C2H6N-,"I've been taking Lamictal for bipolar disorder for almost three years and for juvenile myoclonic epilepsy for two years.  It's been a miracle for the bipolar issues: at 50 milligrams of Lamictal I went from a volatile, frequently suicidal mess to someone who could function better than most.  However, Lamictal has not done much, if anything, for my epilepsy, even though I'm up to a therapeutic dose.  Other than the ineffectiveness against seizures, the only thing I don't like about Lamictal is that it's a disgustingly bitter pill without any coating."
