Col 1,Col 2,Col 3
,,
,,
,,
,,
,,
BBB,,
d,0.01,
,0.01,
f,0.00,
,,
,,
,,
,,
,,
,,
,0.00,
,,
,,
,,
,,
,,
,,
,,
,,
,0.05,
,0.20,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,0.11,
,,
,,
,,
u ,,
,,
d,0.03,
,,
,0.19,
d,,
,,
,,
,,
,,
,,
,,
,,
,,
d,,
d,0.12,
d,,
d,,
,0.02,
,0.12,
,0.03,
,>0.17,
,,
u ,,
,<0.00,
,0.13,
,,
,0.00,
u ,,
u ,,
,,
,,
,0.13,
,,
,,
,,
,,
,0.08,
,,
,,
,,
,,
,,
u ,,
,,
,,
,,
,,
,,
,,
,,
e,>0.17,
,0.02,
,,
u ,0.93,
,,
kk,0.86,
,,
,0.37,
,,
,,
,,
,0.20,
,0.06,
,<0.00,
,<0.00,
,,
u ,,
,0.02,
,0.08,
,,
,,
,<0.00,
,,
,0.11,
,0.22,
,0.01,
,0.01,
,<0.00,
,<0.00,
,0.04,
,0.04,
,0.12,
,0.06,
,0.08,
,0.11,
,,
,,
u ,0.40,
u ,,
,,
,,
,,
,,
,,
u ,,
,>1.00,
,,
,,
,,
,0.10,
,,
,,
f,,
,<0.00,
,,
,0.19,
,0.74,
,0.14,
,0.44,
,0.10,
,0.09,
,0.01,
,0.64,
,0.07,
,0.02,
,,
,0.01,
u ,>1.00,
,,
,,
,,
,0.01,
,>1.00,
e,<0.00,
,0.35,
u ,>1.00,
,,
,,
,,
,0.04,
,,
,,
,0.90,
,,
,0.66,
,0.66,
,0.73,
,0.69,
,>1.00,
u ,0.25,
AAA,,
e,>0.17,
AAA,,
f,,
,,
,,
,,
f,,
f,,
,<0.00,
u ,,
u ,0.03,
,0.42,
,0.52,
,0.82,
,0.71,
,0.14,
,0.19,
,0.02,
,,
,0.12,
AAA,,
,,
,0.25,
,,
u ,,
,,
,0.10,
,0.58,
e,,
,,
u ,,
,0.42,
,0.14,
,,
,,
u ,0.23,
u ,,
,0.01,
,,
,,
,,
,,
,0.02,
,,
,,
AAA,,
u ,0.86,
,<0.00,
d,0.61,
,,
AAA,,
AAA,,
,0.06,
,,
CCC,,
,,
,,
,>1.00,
e,,
,>1.00,
u ,0.10,
,,
u ,0.82,
,0.36,
,0.48,
,0.29,
,,
,,
,,
,,
,,
,0.31,
,,
u ,,
,,
f,0.01,
u ,>1.00,
u ,0.79,
,,
u ,>1.00,
f,0.02,
AAA,,
e,,
,,
,0.59,
u ,>1.00,
AAA,,
AAA,0.14,
,,
,,
,,
,,
e,,
,,
u ,>1.00,
,,
,<0.00,
,0.01,
kk,0.45,
,,
,,
,,
,0.01,
,,
,0.01,
,0.11,
,,
u ,0.11,
,,
u ,0.01,
,,
,,
,,
u ,,
,0.49,
,,
u ,,
u ,,
,0.67,
,,
,,
,0.04,
f,,
,,
,,
,,
,,
,,
u ,,
,,
,,
,,
,0.06,
,,
,<0.00,
,,
,0.04,
,0.12,
,,
,,
,,
,0.04,
u ,,
,,
,>0.75,
u ,0.06,
,,
e,,
,0.01,
,,
,,
,,
,,
,,
,<0.00,
,,
,,
,0.01,
u ,,
,0.11,
,0.45,
AAA,,
,,
,0.02,
,,
,,
,0.04,
,>1.00,
,,
,,
,,
f,,
,,
,,
,,
,0.05,
AAA,0.04,
e,,
,,
,,
,,
,,
,0.14,
,,
,,
,,
,,
u ,,
,,
,,
,,
,,
f,,
f,,
,,
f,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,0.01,
,0.14,
,,
,,
,0.91,
,0.55,
,,
,,
,,
,0.14,
,,
,0.20,
,0.97,
,>1.00,
,,
,0.34,
u ,,
,0.15,
u ,0.20,
mmm,,
,<0.00,
,,
u ,0.37,
u ,,
u ,,
,,
,,
,,
,<0.00,
,0.01,
,,
AAA,,
,<0.00,
AAA,,
,,
,,
,,
,0.88,
,,
,,
,,
u ,0.04,
,>0.17,
,,
,,
,,
,,
d,,
d,,
,,
d,,
,,
,,
,,
,,
d,,
,,
,,
,,
,,
d,,
d,,
,,
d,,
,,
,,
,,
,,
,,
,,
f,,
,,
d,,
,0.01,
AAA,,
,,
,,
f,,
f,,
,,
d,,
,,
f,0.29,
f,,
,,
,,
,,
d,<0.00,
d,<0.00,
d,<0.00,
d,<0.00,
,,
u ,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
d,,
,,
,,
,,
,,
,,
,,
f,,
,,
,,
,,
f,,
AAA,,
AAA,,
,0.07,
,,
,>0.17,
,,
AAA,,
,,
,,
mmm,,
d,0.07,
,0.93,
AAA,,
,,
kk,0.23,
,,
,,
,,
,,
,,
kk,,
,,
kk,,
kk,,
kk,,
,,
d,0.01,
d,0.07,
,>0.17,
,0.05,
,,
CCC,0.06,
,0.55,
,,
f,<0.00,
u ,0.18,
,,
,,
AAA,,
,,
,0.33,
,,
d,,
mmm,,
,,
d,0.01,
,,
,,
AAA,,
,0.30,
,0.84,
,,
,,
,,
,0.35,
,,
,,
,,
,,
AAA,,
,,
u ,,
,,
kk,,
,,
,,
d,0.11,
,,
AAA,,
,0.43,
f,,
,,
,,
,,
,0.30,
AAA,>0.17,
,<0.00,
,,
,,
,,
,0.25,
,,
u ,,
,,
,,
AAA,0.23,
,,
u ,,
,,
u ,>1.00,
e,0.91,
,,
,,
,0.16,
,,
,,
mmm,,
mmm,,
,0.22,
AAA,0.06,
,0.00,
,,
,,
,0.06,
,,
d,0.03,
,,
AAA,,
,0.11,
,,
,,
,,
,0.73,
,<0.00,
,,
,,
u ,0.00,
,,
,,
,,
u ,0.46,
,<0.00,
AAA,0.03,
,0.03,
AAA,,
,0.28,
,,
,0.19,
u ,,
,0.06,
,0.04,
f,0.87,
u ,,
AAA,,
CCC,,
CCC,,
AAA,,
CCC,,
,,
,0.29,
u ,,
,,
AAA,0.06,
,,
,,
,,
,,
e,,
f,,
AAA,,
u ,0.05,
,,
,,
f,0.12,
,,
,,
e,,
AAA,,
,0.13,
,,
,,
,,
,>1.00,
,,
,,
,,
,0.78,
,,
f,0.06,
BBB,,
f,,
AAA,,
,,
,,
,,
,,
,,
,,
,,
e,,
e,,
e,,
,>1.00,
,,
,,
,,
,0.67,
,,
,,
AAA,,
u ,,
,0.89,
f,,
,<0.00,
AAA,,
,,
,,
e,,
,>1.00,
,,
,,
,,
,,
,,
,,
,,
,,
f,,
,,
,,
,,
f,,
,,
f,,
,,
f,,
,0.17,
u ,,
,,
u ,,
,,
,,
AAA,,
,,
,,
AAA,,
,>1.00,
kk,>1.00,
f,0.34,
,>1.00,
,>1.00,
f,,
,,
,>1.00,
,,
,,
,,
u ,,
,,
,,
,>1.00,
AAA,1.00,
u ,,
,<0.00,
,,
,,
,0.44,
u ,0.03,
,,
AAA,0.89,
,,
,,
,0.56,
,,
u ,,
AAA,,
,,
u ,>1.00,
u ,>1.00,
,0.10,
,,
u ,,
,,
u ,0.01,
,0.11,
AAA,,
,,
,0.02,
,>1.00,
u ,0.85,
u ,,
,,
,,
,,
u ,,
AAA,,
,,
,>0.75,
,0.62,
,,
,,
,,
u ,0.37,
,,
u ,,
u ,,
,0.41,
,,
AAA,0.05,
e,,
u ,,
,,
,,
d,0.04,
,,
,,
e,,
,,
,,
AAA,,
d,0.08,
,,
AAA,,
,,
,,
,,
,,
f,,
AAA,,
,0.58,
,0.93,
,,
,0.00,
,,
,,
,,
,,
,,
,,
u ,0.08,
,,
,0.06,
AAA,,
AAA,,
d,0.05,
,,
,,
,,
,,
,,
,,
,,
u ,,
,,
d,0.04,
,,
,,
,0.17,
,0.01,
,,
,,
,,
d,0.01,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
d,0.01,
,,
,0.01,
d,0.05,
f,,
,,
f,,
f,,
,,
d,0.18,
,0.21,
d,0.03,
u ,>1.00,
u ,>1.00,
,,
AAA,,
d,0.13,
,,
,,
,,
u ,,
,0.01,
,>1.00,
,0.55,
,,
,,
,,
,,
,,
,,
,,
,<0.00,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
u ,>1.00,
,,
,,
,,
,>1.00,
,<0.00,
,,
,,
,,
,,
,,
,0.17,
,,
,,
u ,,
u ,,
u ,,
u ,,
u ,,
u ,,
u ,,
,,
,0.56,
,,
,,
,,
,,
,,
,0.55,
,,
,,
,0.56,
,,
,,
,,
u ,,
,<0.00,
,,
e,,
e,,
,,
AAA,,
,,
,,
,,
,,
,,
,,
u ,,
u ,,
d,<0.00,
,,
,,
,,
,,
u ,,
e,,
d,<0.00,
,0.91,
f,,
,,
u ,,
u ,,
AAA,,
,0.08,
,,
,,
,,
,,
,,
,,
,0.16,
,0.10,
,,
,,
,0.68,
,,
,,
,,
,0.11,
,,
,,
,,
,,
u ,0.92,
CCC,,
,0.18,
,>1.00,
,,
,,
f,,
,,
,,
,,
e,,
e,,
u ,,
,,
AAA,,
,,
,,
,,
,,
,,
,,
,0.31,
,,
,>1.00,
,,
u ,,
,,
,,
,,
,,
,,
,,
e,,
,,
,,
,,
,,
,0.19,
,,
,,
,,
d,<0.00,
,,
,,
,,
,,
u ,0.58,
,,
,,
,,
,,
,,
,,
e,,
,,
u ,0.35,
,,
CCC,,
,,
,,
,,
,,
,,
,,
,,
,,
,0.24,
,,
,,
,,
AAA,,
,,
,,
,,
,,
,,
,,
,,
e,>0.17,
,0.06,
,0.14,
,0.40,
,0.68,
,0.68,
,0.96,
,0.68,
,0.42,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,0.49,
,,
,,
,,
,,
,,
AAA,,
u ,>0.17,
d,<0.00,
,,
,,
,0.14,
,,
,,
,,
,,
,,
,0.01,
e,,
,,
e,,
e,,
,,
u ,<0.00,
,,
,,
,,
,,
,,
,,
,,
AAA,<0.00,
,,
,,
,,
,,
,,
,,
,,
,,
,0.52,
,,
,,
,,
,,
,0.24,
,0.66,
,,
,,
,,
,,
,,
,,
,0.70,
d,,
,,
,,
u ,>1.00,
,,
,>1.00,
e,0.34,
,,
,,
,,
,,
,,
,>0.75,
,,
f,,
d,<0.00,
,,
,0.41,
,,
,,
,,
,,
,,
,,
u ,,
,,
,,
,,
,0.05,
e,,
,,
,,
,,
,,
,,
,,
d,<0.00,
AAA,0.61,
,,
,,
AAA,,
d,<0.00,
d,0.11,
d,<0.00,
d,<0.00,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,0.14,
,,
,<0.00,
,0.19,
AAA,,
u ,0.28,
d,,
,,
u ,0.63,
,,
,,
,,
,,
,,
,,
,<0.00,
,,
,0.81,
,,
,0.00,
f,,
f,,
,0.02,
,,
,,
,>1.00,
,,
,0.26,
d,0.36,
f,0.09,
,0.04,
,,
AAA,>1.00,
,,
,>1.00,
,>0.75,
f,0.01,
,,
BBB,,
CCC,>0.75,
,0.57,
,,
,,
,,
,,
,,
,>0.75,
,,
u ,>0.17,
,,
,,
,,
CCC,>0.75,
,,
u ,0.96,
,,
f,,
,,
,,
,,
,,
,,
u ,>0.17,
,,
,>1.00,
,,
,,
,,
,>1.00,
d,,
,,
,,
,,
AAA,0.06,
,,
,,
,,
,,
CCC,,
,,
,,
f,,
,0.18,
,,
,,
,<0.00,
,0.89,
CCC,,
,,
,0.09,
Isothiazole,,
,,
,,
d,0.32,
,,
d,0.01,
,,
u ,,
,,
,,
,,
,0.08,
,>0.17,
AAA,,
,,
,,
,,
,,
,,
AAA,,
,0.00,
,,
mmm,,
,,
AAA,,
,,
,,
,,
,0.38,
,,
,0.01,
,,
d,,
CCC,,
,,
,,
,,
,,
AAA,,
,,
,,
,0.10,
,<0.00,
,,
,,
,,
,,
,,
u ,,
,,
AAA,,
,,
d,,
,,
,,
,,
,>0.75,
,,
,,
AAA,>1.00,
,,
,>1.00,
,,
,,
,,
,,
,,
AAA,,
d,,
,<0.00,
,<0.00,
,,
,,
d,,
,,
u ,,
,0.43,
,,
,,
,,
,0.07,
,,
,0.63,
,,
,,
,0.13,
,,
,,
,>1.00,
mmm,,
n,,
,,
d,0.23,
,,
,,
u ,,
,,
,,
d,0.06,
,,
,,
,,
,,
e,,
,,
,0.17,
d,0.09,
,,
AAA,>1.00,
,,
AAA,,
,,
,<0.00,
,,
,,
AAA,0.52,
,,
,,
,,
,,
,,
d,,
,,
,,
,,
,,
e,0.60,
,,
,,
,,
AAA,,
u ,>0.17,
,,
,<0.00,
d,,
,,
d,,
,0.01,
,,
,,
,,
,,
,0.04,
,,
AAA,,
,,
,,
d,,
,,
,,
,,
u ,,
e,,
,,
,,
d,0.02,
,,
,0.57,
,0.03,
,,
,,
,,
AAA,,
u ,0.22,
u ,,
u ,0.62,
u ,,
u ,,
d,<0.00,
u ,,
u ,,
u ,,
u ,0.50,
u ,,
u ,,
u ,,
u ,,
AAA,,
AAA,,
u ,0.13,
AAA,,
u ,,
u ,,
u ,0.02,
,,
Pyrazine,,
,,
,,
,,
,,
,,
AAA,,
,,
,,
f,,
,,
,,
,,
,,
d,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,<0.00,
,,
,,
,,
,,
AAA,,
,0.19,
,<0.00,
,,
,0.02,
,,
,0.07,
,,
AAA,,
,,
,0.01,
,,
f,0.07,
AAA,,
f,0.17,
e,>0.17,
e,,
,,
,,
,,
u ,,
,>0.17,
,0.56,
,,
,0.13,
,,
,,
,,
AAA,,
AAA,,
AAA,,
AAA,,
AAA,,
AAA,,
AAA,,
AAA,,
AAA,,
,,
f,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,0.53,
,,
,,
,,
,,
d,0.02,
d,,
,<0.00,
,0.15,
,0.42,
,,
,0.07,
,,
,,
BBB,,
,,
,,
,,
,,
,,
,,
,0.74,
d,,
,,
,,
f,,
,,
,0.27,
u ,>1.00,
,0.21,
,,
,,
,,
AAA,,
,,
AAA,,
,,
u ,,
,0.00,
,,
BBB,,
u ,,
u ,<0.00,
d,0.01,
,,
d,,
f,,
,,
,,
u ,,
f,,
,,
f,<0.00,
,,
AAA,,
,,
,,
AAA,,
,,
AAA,,
,0.09,
,0.01,
,,
,>0.75,
AAA,,
,,
,,
,,
,,
e,,
u ,,
f,0.42,
,<0.00,
f,0.01,
,,
,,
,,
AAA,,
,0.06,
,,
,,
,,
d,,
,,
f,0.83,
,,
d,0.17,
,,
,,
,<0.00,
,,
d,,
,<0.00,
,,
,,
,<0.00,
,,
,,
,,
u ,0.65,
AAA,,
AAA,0.01,
u ,,
,,
u ,>0.17,
d,0.03,
AAA,,
,>1.00,
e,0.01,
,,
u ,,
,,
,0.00,
,0.37,
,,
d,,
,,
,,
AAA,,
,0.01,
u ,0.93,
u ,0.83,
,,
d,,
,,
,,
d,,
,,
,,
,,
,>0.75,
,,
AAA,,
AAA,,
,,
d,,
,,
f,0.72,
,,
d,0.08,
d,0.01,
,>0.75,
,,
,,
,,
,<0.00,
,,
,,
f,,
f,,
d,,
f,,
d,0.23,
CCC,,
,0.14,
,,
,,
d,,
CCC,,
,,
,,
,,
,<0.00,
u ,,
,,
,,
AAA,,
,,
,,
d,,
,,
d,0.84,
,,
,,
AAA,,
d,,
,0.07,
,,
,0.00,
,,
,,
,>1.00,
u ,>0.17,
,,
,0.66,
f,0.09,
,,
,,
,,
,,
,,
,,
,,
,,
,0.22,
,,
,,
u ,,
,,
,,
,,
,,
u ,0.24,
u ,,
,,
,,
u ,,
AAA,,
,,
,,
BBB,,
,,
u ,>0.17,
,,
,,
f,,
u ,,
u ,,
,,
,,
,,
,0.32,
,0.25,
,0.17,
,,
,0.01,
u ,,
f,0.69,
,>0.75,
,>0.75,
,,
d,,
,<0.00,
,0.25,
,,
mmm,<0.00,
,,
,,
f,0.02,
,,
d,,
u ,>0.17,
,,
BBB,,
,>1.00,
AAA,,
u ,,
,0.17,
,,
,,
,,
d,,
,0.01,
,,
AAA,0.00,
,,
u ,,
,,
AAA,,
AAA,0.11,
,,
d,0.01,
,,
d,0.06,
,,
,<0.00,
CCC,,
,>1.00,
,,
,,
,,
,,
AAA,,
,,
,,
,,
,,
,,
mmm,<0.00,
d,,
,,
AAA,,
f,,
CCC,,
,,
,,
d,,
,,
u ,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
f,0.55,
,0.00,
,,
,0.03,
,,
,0.06,
,,
,0.98,
,,
,,
,,
,,
AAA,,
,,
,,
AAA,,
,,
,,
,,
AAA,,
f,0.03,
u ,>1.00,
CCC,,
,,
,,
,0.44,
e,,
,,
,,
AAA,,
AAA,0.64,
,,
,,
u ,,
u ,>0.17,
,,
e,>0.17,
AAA,,
,,
AAA,,
,,
,>0.75,
d,0.47,
d,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,0.03,
u ,0.31,
u ,0.94,
,,
,,
,,
,,
d,0.04,
d,,
,>0.75,
,,
,0.02,
d,,
,0.01,
,,
,,
d,,
d,0.16,
d,,
e,,
,,
,0.31,
,,
AAA,0.23,
e,,
,,
,,
,,
AAA,,
,<0.00,
,,
,,
,,
,,
,0.01,
,,
,,
,,
,,
,,
,,
,,
,,
,,
AAA,,
,,
,,
,,
,,
BBB,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
BBB,,
,,
,,
,,
u ,>1.00,
,,
,,
,,
,,
,,
,,
,0.00,
,,
f,0.11,
,,
,,
AAA,,
,,
,,
,,
,0.00,
d,,
,,
u ,>1.00,
f,,
AAA,,
AAA,,
,,
AAA,>1.00,
f,>0.75,
d,0.82,
AAA,,
u ,,
AAA,,
AAA,,
,,
AAA,,
,,
d,0.49,
AAA,0.51,
,,
d,0.19,
,,
,>1.00,
,,
AAA,0.03,
e,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
AAA,,
,,
,,
,,
AAA,>1.00,
AAA,,
,,
,,
,,
,,
,,
d,0.51,
,0.03,
kk,,
d,,
,,
,,
d,0.80,
d,,
AAA,,
,,
,,
,0.11,
,,
d,0.10,
AAA,0.43,
d,,
,,
d,0.03,
d,0.07,
,,
d,0.57,
,,
AAA,0.68,
d,,
,,
AAA,0.00,
,,
,,
AAA,0.11,
,,
AAA,0.17,
,,
,,
,,
AAA,0.02,
,,
,0.03,
,,
u ,,
AAA,>1.00,
,,
e,,
,,
,,
AAA,,
d,0.07,
u ,,
AAA,0.58,
d,0.15,
,,
,,
,,
d,,
d,,
AAA,,
,,
,,
,,
,,
d,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
u ,,
u ,,
u ,,
u ,,
,,
,,
d,,
,,
,,
,,
,,
u ,,
,,
,,
,,
,,
,,
,,
,,
,,
AAA,,
AAA,,
,,
,,
u ,,
u ,,
,,
,,
,,
,0.01,
n,,
u ,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
AAA,,
,,
,,
,,
,,
,,
,,
,,
AAA,,
,,
,,
,,
,,
,,
AAA,0.20,
,,
Isothiazole,,
Isothiazole,,
Isothiazole,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
AAA,,
,0.63,
,,
,,
,,
,,
,,
,,
,,
u ,,
,,
,,
u ,,
u ,,
u ,,
u ,,
u ,,
,,
,,
,,
u ,,
,,
,,
,,
,,
,,
AAA,,
,0.32,
,,
,,
,,
,,
u ,,
,,
,,
,,
,0.01,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,<0.00,
,,
,,
,,
,,
AAA,,
AAA,,
AAA,,
f,,
f,,
,,
f,,
f,,
f,,
,,
,,
,,
,,
,,
,,
,,
,,
mmm,,
,,
,,
Isothiazole,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
f,,
,,
,,
,,
AAA,,
,,
,,
,,
,,
,,
,,
,,
AAA,,
,,
,,
AAA,,
AAA,,
AAA,,
AAA,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
AAA,,
,,
BBB,,
BBB,,
BBB,,
BBB,,
BBB,,
BBB,,
Isothiazole,,
Isothiazole,,
,,
Isothiazole,,
AAA,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
AAA,,
,,
,,
,,
,,
,,
,,
,,
,,
Pyrazine,,
e,,
Pyrazine,,
Pyrazine,,
Pyrazine,,
,,
,,
u ,,
u ,,
u ,,
,,
,,
u ,,
u ,,
u ,,
u ,,
u ,,
u ,,
u ,,
,,
,,
Pyrazine,,
,,
u ,,
u ,,
u ,,
u ,,
u ,,
u ,,
u ,,
u ,,
u ,,
u ,,
,,
,,
,,
,,
,,
,,
,,
,,
d,,
,,
Isothiazole,,
d,,
d,,
CCC,,
CCC,,
u ,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
CCC,,
CCC,,
,,
,,
CCC,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
CCC,,
CCC,,
CCC,,
u ,,
d,,
d,,
d,,
d,,
d,,
d,,
d,,
d,,
d,,
d,,
,,
,,
,,
,,
,,
,,
d,,
,,
,,
,,
,,
,,
,,
d,,
d,,
d,,
d,,
,,
,,
d,,
,,
,,
d,,
,,
u ,,
,,
,,
,,
u ,,
d,,
,,
,,
,,
,,
,,
,,
d,,
,,
,,
,,
,,
,,
,,
,,
d,,
d,,
,,
,,
,,
u ,,
d,,
d,,
u ,,
,,
,,
d,,
,,
,,
,,
,,
,,
,,
,,
u ,,
d,,
d,,
d,,
d,,
d,,
d,,
d,,
u ,,
u ,,
d,,
d,,
d,,
d,,
d,,
d,,
d,,
d,,
d,,
d,,
d,,
u ,,
,,
,,
,,
u ,,
u ,,
u ,,
CCC,,
d,,
,,
,,
d,,
d,,
e,,
,,
d,,
d,,
d,,
d,,
d,,
d,,
d,,
d,,
,,
d,,
mmm,,
,,
,,
,,
,,
,,
d,,
d,,
,,
,,
,,
,,
,,
d,,
d,,
u ,,
u ,,
u ,,
u ,,
u ,,
u ,,
u ,,
,,
,,
,,
,,
mmm,,
,,
,,
,,
,,
,,
,,
,,
,,
d,,
d,,
d,,
,,
,,
,,
u ,,
d,,
f,,
d,,
d,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
e,,
,,
,,
,,
,,
,,
d,,
,,
,,
,,
,,
d,,
d,,
,,
,,
f,,
f,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
CCC,,
,,
CCC,,
CCC,,
CCC,,
CCC,,
CCC,,
CCC,,
CCC,,
CCC,,
CCC,,
d,,
,,
,,
,,
f,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
AAA,,
,,
AAA,,
AAA,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
d,,
d,,
CCC,,
,,
,,
,,
,,
,,
,,
,,
d,,
,,
,,
,,
,,
f,,
,,
,,
,,
,,
,,
,,
,,
d,,
d,,
d,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
AAA,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
CCC,,
,,
,,
,,
,,
,,
f,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
d,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
d,,
,,
,,
d,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
f,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
f,,
,,
,,
,,
,,
,,
,,
,,
,,
AAA,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
d,,
d,,
AAA,,
,,
,,
CCC,,
,,
CCC,,
CCC,,
CCC,,
CCC,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
f,,
CCC,,
CCC,,
CCC,,
CCC,,
d,,
d,,
,,
,,
CCC,,
,,
,,
,,
d,,
,,
,,
,,
,,
,,
,,
d,,
,,
,,
,,
,,
,,
,,
mmm,,
,,
,,
,,
CCC,,
d,,
d,,
d,,
,,
,,
,,
d,,
,,
d,,
d,,
,,
,,
d,,
,,
,,
,,
CCC,,
d,,
,,
,,
f,,
,,
AAA,,
,,
,,
,,
d,,
,,
,,
,,
,,
,,
,,
d,,
CCC,,
,,
,,
d,,
,,
,,
,,
CCC,,
CCC,,
CCC,,
,,
CCC,,
,,
,,
AAA,,
AAA,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
AAA,,
AAA,,
,,
AAA,,
CCC,,
CCC,,
,,
,,
,,
,,
CCC,,
CCC,,
CCC,,
CCC,,
CCC,,
CCC,,
,,
CCC,,
,,
,,
CCC,,
CCC,,
CCC,,
CCC,,
CCC,,
CCC,,
,,
,,
,,
,,
,,
d,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
CCC,,
,,
,,
,,
CCC,,
CCC,,
,,
,,
,,
,,
,,
,,
e,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
e,,
e,,
,,
,,
,,
,,
,,
,,
,,
e,,
e,,
e,,
e,,
e,,
e,,
,,
,,
,,
,,
,,
,,
e,,
e,,
e,,
e,,
,,
,,
,,
,,
e,,
e,,
e,,
,,
e,,
d,,
e,,
,,
,,
,,
CCC,,
CCC,,
,,
e,,
e,,
e,,
e,,
e,,
,,
e,,
e,,
e,,
,,
,,
,,
,,
,,
,,
,,
,,
d,,
e,,
,,
,,
,,
,,
,,
,,
,,
e,,
,,
f,,
f,,
,,
e,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
d,,
d,,
,,
,,
,,
,,
,,
d,,
,,
d,,
d,,
,,
,,
,,
,,
d,,
,,
,,
,,
,,
d,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
e,,
e,,
e,,
e,,
e,,
e,,
e,,
e,,
e,,
,,
,,
,,
,,
d,,
d,,
d,,
d,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
d,,
d,,
d,,
d,,
d,,
d,,
,,
d,,
d,,
e,,
e,,
e,,
e,,
e,,
,,
,,
,,
,,
,,
e,,
e,,
e,,
,,
,,
,,
d,,
,,
,,
,,
,,
,,
,,
,,
,,
CCC,,
,,
,,
,,
d,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
CCC,,
CCC,,
CCC,,
CCC,,
CCC,,
CCC,,
CCC,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
CCC,,
CCC,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
