DRUGBANK_ID,COMMON_NAME,CAS_NUMBER,UNII,SYNONYMS,Smiles
DB03443,bis(5-amidino-benzimidazolyl)methanone zinc,,,,NC(c(cc1)cc2c1[n+]([Zn][n+]1c(C3=O)[nH]c4c1ccc(C(N)N)c4)c3[nH]2)N
DB07336,4-[3-(1H-BENZIMIDAZOL-2-YL)-1H-INDAZOL-6-YL]-2-METHOXYPHENOL,,,,COc(cc(cc1)-c(cc2)cc3c2c(-c2nc(cccc4)c4[nH]2)n[nH]3)c1O
DB07430,"(10R)-10-methyl-3-(6-methylpyridin-3-yl)-9,10,11,12-tetrahydro-8H-[1,4]diazepino[5',6':4,5]thieno[3,2-f]quinolin-8-one",,,,CC(CNc1c2sc3c1c1ccc(-c4cnc(C)cc4)nc1cc3)NC2=O
DB07578,CP-94707,343250-05-5,YGC6408B5O,,Cc1nc(cncc2)c2n1-c1ccc(CN(c(cccc2)c2S2)C2=O)cc1
DB07393,"2-(2-PHENYL-3-PYRIDIN-2-YL-4,5,6,7-TETRAHYDRO-2H-ISOPHOSPHINDOL-1-YL)PYRIDINE",,,,C(CCC1=C2c3ncccc3)CC1=C(c1ncccc1)P2c1ccccc1
DB12543,Samidorphan,852626-89-2,7W2581Z5L8,Samidorphan,NC(c1ccc(C[C@H]2N(CC3CC3)CC[C@]3(CC(CC4)=O)[C@]24O)c3c1O)=O
DB01591,Solifenacin,242478-37-1,A8910SQJ1U,Solifenacin; Solifenacina,O=C(N(CC1)[C@@H](c2ccccc2)c2c1cccc2)O[C@@H]1C(CC2)CCN2C1
DB12764,Opaganib,915385-81-8,DRG21OQ517,ABC-294640; ABC294640; Opaganib; Yeliva,O=C(C(CC(C1)C2)(CC1C1)CC12c(cc1)ccc1Cl)NCc1ccncc1
DB12385,10-hydroxycamptothecin,19685-09-7,9Z01632KRV,,CC[C@](C(C=C1N2Cc3cc4cc(O)ccc4nc13)=C(CO1)C2=O)(C1=O)O
DB15096,18-methoxycoronaridine,308123-60-6,KX8NQX91Z8,,COCC[C@@H](C[C@H](C[C@@]12C(OC)=O)C3)[C@@H]2N3CCc2c1[nH]c1c2cccc1
DB12020,Tecovirimat,869572-92-9,F925RR824R,Tecovirimat,O=C(c1ccc(C(F)(F)F)cc1)NN(C([C@H]1[C@H]([C@@H]2[C@H]3C2)C=C[C@H]3[C@@H]11)=O)C1=O
DB08450,N-1H-indazol-5-yl-2-(6-methylpyridin-2-yl)quinazolin-4-amine,,,,Cc1cccc(-c2nc3ccccc3c(Nc(cc3)cc4c3[nH]nc4)n2)n1
DB06976,"1-(5-OXO-2,3,5,9B-TETRAHYDRO-1H-PYRROLO[2,1-A]ISOINDOL-9-YL)-3-(5-PYRROLIDIN-2-YL-1H-PYRAZOL-3-YL)-UREA",,,,O=C(Nc1n[nH]c([C@H]2NCCC2)c1)Nc1cccc2c1[C@H](CCC1)N1C2=O
DB12903,DEBIO-1347,1265229-25-1,NR9ZYH80Z8,,Cc1nc(ccc(-n2ncc(C(c3cc(cccc4)c4[nH]3)=O)c2N)c2)c2[nH]1
DB08512,"6-amino-2-[(1-naphthylmethyl)amino]-3,7-dihydro-8H-imidazo[4,5-g]quinazolin-8-one",,,,NC(N1)=Nc(cc2[nH]c(NCc3cccc4ccccc34)nc2c2)c2C1=O
DB16097,Artemisone,255730-18-8,796LMW5BUZ,Artemifone; Artemisone,C[C@H](CC[C@H]1[C@H]2C)[C@H](CC3)[C@]11OO[C@@]3(C)O[C@H]1O[C@H]2N(CC1)CCS1(=O)=O
DB01452,Diamorphine,561-27-3,70D95007SX,"(5α,6α)-7,8-Didehydro-4,5-epoxy-17-methylmorphinan-3,6-diol diacetate (ester); 3,6-Diacetylmorphine; 7,8-Dihydro-4,5-alpha-epoxy-17-methylmorphinan-3,6-alpha-diol diacetate; Diacetylmorphine; Diamorphine; Heroin; O,O'-Diacetylmorphine",CC(O[C@H]1C=C[C@@H]([C@@H](C2)N(C)CC3)[C@]33c4c2ccc(OC(C)=O)c4O[C@@H]13)=O
DB14935,Serabelisib,1268454-23-4,43J9Q56T3W,Serabelisib,Nc1nc(cc(cc2)-c(cc3)cn4c3ncc4C(N3CCOCC3)=O)c2o1
DB12515,9-aminocamptothecin,91421-43-1,5MB77ICE2Q,Aminocamptothecin,CC[C@](C(C=C(c1nc2ccc3)N4Cc1cc2c3N)=C(CO1)C4=O)(C1=O)O
DB06090,Bradanicline,639489-84-2,UM3821998K,Bradanicline,O=C(c1cc(cccc2)c2o1)N[C@@H]1C(CC2)CCN2[C@H]1Cc1cnccc1
DB08698,"1-[(3S)-5-PHENYL-3-THIOPHEN-2-YL-3H-1,4-BENZODIAZEPIN-2-YL]AZETIDIN-3-OL",,,,OC(C1)CN1C1=Nc(cccc2)c2C(c2ccccc2)=NC1c1cccs1
DB08338,"19-(cyclopropylamino)-4,6,7,15-tetrahydro-5H-16,1-(azenometheno)-10,14-(metheno)pyrazolo[4,3-o][1,3,9]triazacyclohexadecin-8(9H)-one",,,,O=C(CCCCc1c2nc(N3)nc(NC4CC4)n2nc1)Nc1cc3ccc1
DB03671,Digoxigenin,1672-46-4,NQ1SX9LNAU,Lanadigenin,C[C@]([C@H](CC1)C(CO2)=CC2=O)([C@@H](C[C@@H]([C@H]2CC3)[C@@](C)(CC4)[C@H]3C[C@H]4O)O)[C@@]12O
DB13953,Estradiol benzoate,50-50-0,1S4CJB5ZGN,benzoato de estradiol; Estradiol benzoate,C[C@](CC1)([C@@H](CC2)[C@H](CC3)[C@H]1c(cc1)c3cc1OC(c1ccccc1)=O)[C@H]2O
DB15186,GDC-0084,1382979-44-3,P5DKZ70636,,CC1(C)OCCn2c(nc(-c3cnc(N)nc3)nc3N4CCOCC4)c3nc12
DB12848,PF-04217903,956905-27-4,CYJ9ATV1IJ,,OCCn1ncc(-c2nc(n(Cc3cc4cccnc4cc3)nn3)c3nc2)c1
DB14878,Liafensine,1198790-53-2,R34ID086Z6,BMS-820836; Liafensine,CN(C[C@H]1c2cc3ccccc3cc2)Cc2c1ccc(-c1ccc(N)nn1)c2
DB07008,"4-(1,3-BENZODIOXOL-5-YLOXY)-2-[4-(1H-IMIDAZOL-1-YL)PHENOXY]PYRIMIDINE",,,,C1Oc(cc(cc2)Oc3nc(Oc(cc4)ccc4-n4cncc4)ncc3)c2O1
DB15192,ABT-288,948845-91-8,5MEI1M3NHH,,CN(C[C@H]1CC2)C[C@@H]1N2c(cc1)ccc1-c(cc1)ccc1N1N=CC=CC1=O
DB00246,Ziprasidone,146939-27-7,6UKA5VEJ6X,Ziprasidona; Ziprasidone; Ziprasidonum,O=C1Nc2cc(Cl)c(CCN(CC3)CCN3c3nsc4c3cccc4)cc2C1
DB16344,Tulrampator,1038984-31-4,7633T9D4LN,Tulrampator,O=C1N(CCc2cccc(F)c2)N=Nc(cc23)c1cc3OCN(C1CC1)C2=O
DB15346,GLPG-1205,1445847-37-9,K9WR6LRA5D,,O=C(N(CCc1c2ccc(C#CC3CC3)c1)C2=C1)N=C1OC[C@H]1OCCOC1
DB15241,Methylsamidorphan,1119361-12-4,8347HC35J6,Methylsamidorphan,C[N@+](CC1CC1)(CC[C@@]1(CC(CC2)=O)c(c(C3)ccc4C(N)=O)c4O)[C@H]3[C@@]12O
DB14802,ONO-2952,895169-20-7,ZH8CPX4YNB,,CC(N(CC1(CC1)c1c2[nH]c3c1c(F)ccc3)[C@H]2c(ccc(Cl)c1)c1OC)=O
DB12830,Cebranopadol,863513-91-1,7GDW9S3GN3,Cebranopadol,CN(C)[C@](CC1)(CC[C@@]11OCCc2c1[nH]c(cc1)c2cc1F)c1ccccc1
DB07020,"N-{3-[5-(1H-1,2,4-triazol-3-yl)-1H-indazol-3-yl]phenyl}furan-2-carboxamide",,,,O=C(c1ccco1)Nc1cc(-c2n[nH]c(cc3)c2cc3-c2n[nH]cn2)ccc1
DB11760,Talazoparib,1207456-01-6,9QHX048FRV,Talazoparib,Cn1ncnc1[C@H]([C@@H](c(cc1)ccc1F)Nc1c2c3cc(F)c1)C2=NNC3=O
DB14896,Selitrectinib,2097002-61-2,0J45910S3X,Selitrectinib,C[C@H](CCc(c([C@@H](CCC1)N1c1nc2c3cnn2cc1)c1)ncc1F)NC3=O
DB07856,6-{4-[4-(4-CHLOROPHENYL)PIPERIDIN-4-YL]PHENYL}-9H-PURINE,,,,Clc1ccc(C2(CCNCC2)c(cc2)ccc2-c2ncnc3c2nc[nH]3)cc1
DB12833,Tandospirone,87760-53-0,190230I669,Tandospirone,O=C([C@H]1[C@@H]2[C@H]3C[C@@H]1CC3)N(CCCCN(CC1)CCN1c1ncccn1)C2=O
DB11911,Galunisertib,700874-72-2,3OKH1W5LZE,Galunisertib; Galunisertibum,Cc1cccc(-c2nn(CCC3)c3c2-c2c(cc(cc3)C(N)=O)c3ncc2)n1
DB08553,"(1E)-5-(1-piperidin-4-yl-3-pyridin-4-yl-1H-pyrazol-4-yl)-2,3-dihydro-1H-inden-1-one oxime",,,,O/N=C(\CC1)/c(cc2)c1cc2-c1cn(C2CCNCC2)nc1-c1ccncc1
DB08124,"3-{[(2,2-dioxido-1,3-dihydro-2-benzothien-5-yl)amino]methylene}-5-(1,3-oxazol-5-yl)-1,3-dihydro-2H-indol-2-one",,,,O=C1Nc(ccc(-c2cnco2)c2)c2/C1=C/Nc1cc(CS(C2)(=O)=O)c2cc1
DB15120,GSK-239512,720691-69-0,4I7U5C459M,,O=C(CCC1)N1c(cc1)cnc1Oc1cc(CCN(CC2)C3CCC3)c2cc1
DB07011,"(3S)-1-(1,3-BENZODIOXOL-5-YLMETHYL)-3-[4-(1H-IMIDAZOL-1-YL)PHENOXY]PIPERIDINE",,,,C(c(cc1)cc2c1OCO2)N(CCC1)CC1Oc(cc1)ccc1-n1cncc1
DB07226,"N-[4-(2-CHLOROPHENYL)-1,3-DIOXO-1,2,3,6-TETRAHYDROPYRROLO[3,4-C]CARBAZOL-9-YL]FORMAMIDE",,,,O=CNc(cc1)cc(c2c3C(N4)=O)c1[nH]c2cc(-c(cccc1)c1Cl)c3C4=O
DB08406,"[N-(2,4-DIAMINOPTERIDIN-6-YL)-METHYL]-DIBENZ[B,F]AZEPINE",,,,Nc1nc(N)nc2ncc(CN3c(cccc4)c4C=Cc4c3cccc4)nc12
DB13113,JNJ-38877605,943540-75-8,15UDG410PN,,Cn1ncc(-c(cc2)nn3c2nnc3C(c2cc3cccnc3cc2)(F)F)c1
DB08067,4-[(2-{4-[(CYCLOPROPYLCARBAMOYL)AMINO]-1H-PYRAZOL-3-YL}-1H-BENZIMIDAZOL-6-YL)METHYL]MORPHOLIN-4-IUM,,,,O=C(NC1CC1)Nc1c[nH]nc1-c1nc(ccc(C[NH+]2CCOCC2)c2)c2[nH]1
DB15003,PF-06700841,1883299-62-4,3X8387Q25N,,Cn1ncc(Nc2nccc(N(C[C@H]3CC4)C[C@H]4N3C([C@H](C3)C3(F)F)=O)n2)c1
DB13651,Lorajmine,47562-08-3,F96VX65849,Lorajmine,CC[C@@H]([C@H](C[C@@H]1N2[C@H]3C[C@]45c(cccc6)c6N(C)[C@H]14)[C@@H]3[C@H]5OC(CCl)=O)[C@H]2O
DB01573,Benzylmorphine,14297-87-1,83C78V3OL9,,CN(CC[C@]12c3c(C4)ccc(OCc5ccccc5)c3O[C@H]22)[C@H]4[C@@H]1C=C[C@@H]2O
DB12200,Tivantinib,905854-02-6,PJ4H73IL17,Tivantinib,O=C([C@H]([C@@H]1c2cn3c4c2cccc4CCC3)c2c[nH]c3c2cccc3)NC1=O
DB12326,Antroquinonol,1010081-09-0,AX9P92T7JZ,HOCENA,C[C@H]([C@@H](C/C=C(\C)/CC/C=C(\C)/CCC=C(C)C)[C@H](C(OC)=C1OC)O)C1=O
DB01863,"Inositol 1,3,4,5-Tetrakisphosphate",,,,O[C@@H]([C@@H]([C@@H]([C@@H]([C@H]1OP(O)(O)=O)OP(O)(O)=O)O)OP(O)(O)=O)[C@H]1OP(O)(O)=O
DB04300,"(1s,3r,4r,6s)-1,3,4,6-Tetrapkisphosphate",,,,O[C@H]([C@H]([C@@H]([C@@H]([C@@H]1OP(O)(O)=O)O)OP(O)(O)=O)OP(O)(O)=O)[C@@H]1OP(O)(O)=O
DB08964,Gemeprost,64318-79-2,45KZB1FOLS,"16,16-Dimethyl-trans-delta-2-PGE1 methyl ester; 16,16-Dimethyl-trans-delta(sup 2)-prostaglandin E1 methyl ester; Gemeprost; SC-37681",CCCCC(C)(C)[C@H](/C=C/[C@@H]([C@H](CCCC/C=C/C(OC)=O)C(C1)=O)[C@H]1O)O
DB03160,N-Pyridoxyl-7-Keto-8-Aminopelargonic Acid-5'-Monophosphate,,,,C[C@@H](C(CCCCCC(O)=O)=O)NCc1c(COP(O)(O)=O)cnc(C)c1O
DB08364,1-{[(1E)-(3-HYDROXY-2-METHYL-5-{[(TRIHYDROXY-LAMBDA^5^-PHOSPHANYL)OXY]METHYL}PYRIDIN-4-YL)METHYLIDENE]AMINO}UNDECAN-2-ONE,,,,CCCCCCCCCC(C/N=C/c1c(COP(O)(O)O)cnc(C)c1O)=O
DB03536,Benzyl N-[(2S)-5-(diaminomethylamino)-1-[[(2S)-4-fluoro-3-oxobutan-2-yl]amino]-1-oxopentan-2-yl]carbamate,,,Benzoyl-arginine-alanine-methyl ketone,C[C@@H](C(CF)=O)NC([C@H](CCCNC(N)N)NC(OCc1ccccc1)=O)=O
DB04341,S-(3-Iodobenzyl)glutathione,,,,N[C@@H](CCC(N[C@@H](CSCc1cccc(I)c1)C(NCC(O)=O)=O)=O)C(O)=O
DB03597,gamma-Glutamyl[S-(2-iodobenzyl)cysteinyl]glycine,,,,N[C@@H](CCC(N[C@@H](CSCc(cccc1)c1I)C(NCC(O)=O)=O)=O)C(O)=O
DB08669,"METHYL N-[(2S,3R)-3-AMINO-2-HYDROXY-3-(4-METHYLPHENYL)PROPANOYL]-D-ALANYL-D-LEUCINATE",,,,CC(C)C[C@H](C(OC)=O)NC([C@H](C)NC([C@H]([C@@H](c1ccc(C)cc1)N)O)=O)=O
DB00789,Gadopentetic acid,80529-93-7,K2I13DR72L,Acide gadopentetique; ácido gadopentético; Acidum gadopenteticum; Gadolinium diethylenetriamine pentaacetic acid; Gadolinium DTPA; Gadopentetate; Gadopentetic acid,[O-]C(CN(CCN(CC([O-])=O)CC(O)=O)CCN(CC([O-])=O)CC(O)=O)=O.[Gd+3]
DB09425,Indium In-111 pentetate,135998-32-2,5K3UP561AX,Indium (111In) pentetic acid; Indium In 111 pentetate; Indium In-111 pentetate,[O-]C(CN(CCN(CC([O-])=O)CC([O-])=O)CCN(CC(O)=O)CC(O)=O)=O.[111In+3]
DB11263,Polydatin,27208-80-6,XM261C37CQ,"3,4,5-Trihydroxystilbene-3-beta-monoglucoside; 3,4',5-trihydroxystilbene-3-β-d-glucoside; Piceid; Polydatin (E)-isomer; Resveratrol 3-O-beta-glucopyranoside; resveratrol-3-O-b-mono-D-glucoside; trans-piceid; trans-resveratrol 3-O-β-D-glucoside; trans-resveratrol 3-β-D-glucoside; trans-resveratrol 3-β-glucoside",OC[C@@H]([C@@H]([C@H]([C@@H]1O)O)O)O[C@@H]1Oc1cc(O)cc(/C=C/c(cc2)ccc2O)c1
DB12058,Recoflavone,203191-10-0,U96J5LG435,Recoflavone,COc(ccc(C(Oc1c2c(OC)cc(OCC(O)=O)c1)=CC2=O)c1)c1OC
DB03788,GC-24,,,,Cc1cc(OCC(O)=O)cc(C)c1Cc(cc1)cc(Cc2ccccc2)c1O
DB06292,Dapagliflozin,461432-26-8,1ULL0QJ8UC,"(2S,3R,4R,5S,6R)-2-(4-Chloro-3-(4-ethoxybenzyl)phenyl)-6- (hydroxymethyl)tetrahydro-2H-pyran-3,4,5-triol; Dapagliflozin; Dapagliflozina",CCOc1ccc(Cc(cc([C@H]([C@H]([C@@H]2O)O)O[C@@H](CO)[C@@H]2O)cc2)c2Cl)cc1
DB15614,Previtamin D(3),1173-13-3,HDA46400N5,Precalciferol; Precholecalciferol; Previtamin D; Previtamin D(3); Previtamin D3,CC(C)CCC[C@H](C)[C@H](CC1)[C@@]2(C)[C@H]1C(/C=C\C(C1)=C(C)CC[C@H]1O)=CCC2
DB00169,Cholecalciferol,67-97-0,1C6V77QF41,"(+)-vitamin D3; (3β,5Z,7E)-9,10-secocholesta-5,7,10(19)-trien-3-ol; (5Z,7E)-(3S)-9,10-secocholesta-5,7,10(19)-trien-3-ol; Activated 7-dehydrocholesterol; Calciol; CC; Cholecalciferol; Cholecalciferolum; Colecalciferol; Colecalciferolum; Oleovitamin D3; Vitamin D-3; Vitamin D3",CC(C)CCC[C@@H](C)[C@@H](CC1)[C@@](C)(CCC2)[C@@H]1/C2=C/C=C(/C[C@H](CC1)O)\C1=C
DB06693,Mevastatin,73573-88-3,1UQM1K0W9X,Compactin; Mevastatin; Mevastatina; Mévastatine; Mevastatinum,CC[C@H](C)C(O[C@@H]1[C@H]([C@@H](CC[C@H](C[C@H](C2)O)OC2=O)[C@@H](C)C=C2)C2=CCC1)=O
DB00374,Treprostinil,81846-19-7,RUM6K67ESG,Tréprostinil; Treprostinil; Treprostinilo; Treprostinilum,CCCCC[C@H](CC[C@H]([C@H](C1)O)[C@H](Cc2ccc3)[C@@H]1Cc2c3OCC(O)=O)O
DB12713,Sotagliflozin,1018899-04-1,6B4ZBS263Y,Sotagliflozin,CCOc1ccc(Cc(cc([C@@H]([C@@H]([C@H]([C@@H]2O)O)O)O[C@@H]2SC)cc2)c2Cl)cc1
DB06444,Dexanabinol,112924-45-5,R6VT8U5372,Sinnabidol,CCCCCCC(C)(C)c1cc(OC(C)(C)[C@@H]2[C@@H]3CC(CO)=CC2)c3c(O)c1
DB06276,Tanomastat,179545-77-8,AM1ZX94EXH,Tanomastat,OC([C@H](CC(c(cc1)ccc1-c(cc1)ccc1Cl)=O)CSc1ccccc1)=O
DB13355,Visnadine,477-32-7,0RL4V0K263,Visnadine,CC[C@@H](C)C(O[C@H]([C@@H]1OC(C)=O)C(C)(C)Oc(cc2)c1c(O1)c2C=CC1=O)=O
DB12464,Bevenopran,676500-67-7,IC58Q2EHPJ,Bevenopran,COc(cc(CNCCC1CCOCC1)cc1)c1Oc(nc1)cnc1C(N)=O
DB11757,Istradefylline,155270-99-8,2GZ0LIK7T4,Istradefylline,CCN(c1c(C(N2CC)=O)n(C)c(/C=C/c(cc3)cc(OC)c3OC)n1)C2=O
DB07415,4-[(1S)-1-(3-fluoro-4-methoxyphenyl)-2-(2-methoxy-5-nitrophenyl)ethyl]-1H-imidazol-2-amine,,,,COc(cc1)c(CC(c2c[nH]c(N)n2)c(cc2)cc(F)c2OC)cc1[N+]([O-])=O
DB12241,TAK-733,1035555-63-5,5J61HSP0QJ,,CN(C(C(F)=C1Nc(ccc(I)c2)c2F)=O)C(N=CN2C[C@H](CO)O)=C1C2=O
DB04759,"PYRIMIDINE-4,6-DICARBOXYLIC ACID BIS-(3-METHYL-BENZYLAMIDE)",,X969YB2837,,Cc1cccc(CNC(c2cc(C(NCc3cc(C)ccc3)=O)ncn2)=O)c1
DB08187,N-Methylphenylalanyl-N-[(trans-4-aminocyclohexyl)methyl]-L-prolinamide,,,,CN[C@H](Cc1ccccc1)C(N(CCC1)[C@@H]1C(NC[C@H](CC1)CC[C@@H]1N)=O)=O
DB06942,N-(4-carbamimidoylbenzyl)-1-(3-phenylpropanoyl)-L-prolinamide,,,,NC(c1ccc(CNC(C(CCC2)N2C(CCc2ccccc2)=O)=O)cc1)=N
DB07131,(S)-N-(4-carbamimidoylbenzyl)-1-(3-cyclohexylpropanoyl)pyrrolidine-2-carboxamide,,,,NC(c1ccc(CNC(C(CCC2)N2C(CCC2CCCCC2)=O)=O)cc1)=N
DB03534,3-[(Acetyl-Methyl-Amino)-Methyl]-4-Amino-N-Methyl-N-(1-Methyl-1h-Indol-2-Ylmethyl)-Benzamide,,,,CC(N(C)Cc(cc(cc1)C(N(C)Cc2cc(cccc3)c3n2C)=O)c1N)=O
DB11969,Uprosertib,1047634-65-0,ZXM835LQ5E,Uprosertib,Cn1ncc(Cl)c1-c(cc(C(N[C@@H](Cc(cc1)cc(F)c1F)CN)=O)o1)c1Cl
DB08893,Mirabegron,223673-61-8,MVR3JL3B2V,Mirabegron,Nc1nc(CC(Nc2ccc(CCNC[C@@H](c3ccccc3)O)cc2)=O)cs1
DB02081,Bis-Benzamidine,,,,NC(c1ccc(C[C@H](CCCC[C@H]2Cc(cc3)ccc3C(N)=N)C2=O)cc1)=N
DB07141,"5-[(3R)-3-(5-methoxy-4'-methylbiphenyl-3-yl)but-1-yn-1-yl]-6-methylpyrimidine-2,4-diamine",,,,CC(c1cc(OC)cc(-c2ccc(C)cc2)c1)C#Cc1c(N)nc(N)nc1C
DB14790,BPN-14770,1606975-12-5,3XKI17C2E2,,NC(Cc(cc1)ccc1Nc1cc(C(F)(F)F)nc(-c2cccc(Cl)c2)n1)=O
DB06016,Cariprazine,839712-12-8,F6RJL8B278,"Cariprazine; trans-N-{4-[2-[4-(2,3-dichlorophenyl)piperazine-1-yl]ethyl]cyclohexyl}-N’,N’-dimethylurea hydrochloride",CN(C)C(N[C@H]1CC[C@H](CCN(CC2)CCN2c2cccc(Cl)c2Cl)CC1)=O
DB08250,"(5S)-5-(3-AMINOPROPYL)-3-(2,5-DIFLUOROPHENYL)-N-ETHYL-5-PHENYL-4,5-DIHYDRO-1H-PYRAZOLE-1-CARBOXAMIDE",,,,CCNC(N(C(CCCN)(C1)c2ccccc2)N=C1c(cc(cc1)F)c1F)=O
DB04588,"N-[4-(AMINOSULFONYL)BENZYL]-5-(5-CHLORO-2,4-DIHYDROXYPHENYL)-1H-PYRAZOLE-4-CARBOXAMIDE",,,,NS(c1ccc(CNC(c2c(-c(c(O)c3)cc(Cl)c3O)[nH]nc2)=O)cc1)(=O)=O
DB16114,HIV Integrase Inhibitor,729607-74-3,7PR4P7YOKT,BMS 707035,CN(C1=O)C(N(CCCC2)S2(=O)=O)=NC(C(NCc(cc2)ccc2F)=O)=C1O
DB07023,"(1R)-2-[(Diaminomethylene)amino]-1-{4-[(4R)-4-(hydroxymethyl)-1,3,2-dioxaborolan-2-yl]phenyl}ethyl nicotinate",,,,NC(N)=NC[C@H](c1ccc(B2O[C@@H](CO)CO2)cc1)OC(c1cnccc1)=O
DB00795,Sulfasalazine,599-79-1,3XC8GUZ6CB,2-Hydroxy-5-((4-((2-pyridinylamino)sulfonyl)phenyl)azo)benzoic acid; 2-Hydroxy-5-[4-(pyridin-2-ylsulfamoyl)-phenylazo]-benzoic acid; 4-(Pyridyl-2-amidosulfonyl)-3'-carboxy-4'-hydroxyazobenzene; 5-((p-(2-Pyridylsulfamoyl)phenyl)azo)salicylic acid; 5-(4-(2-Pyridylsulfamoyl)phenylazo)-2-hydroxybenzoic acid; 5-(p-(2-Pyridylsulfamyl)phenylazo)salicylic acid; Azopyrin; Salazosulfapiridina; Salazosulfapyridine; Salazosulfapyridinum; Salicylazosulfapyridine; Sulfasalazin; Sulfasalazina; Sulfasalazine; Sulfasalazinum,OC(c(cc(cc1)/N=N/c(cc2)ccc2S(Nc2ncccc2)(=O)=O)c1O)=O
DB02063,CRA_16847,,,2-(3-{5-[AMINO(IMINIO)METHYL]-1H-BENZIMIDAZOL-2-YL}-5-BROMO-4-OXIDOPHENYL)SUCCINATE,NC(c(cc1)cc2c1nc(-c1cc([C@@H](CC([O-])=O)C(O)=O)cc(Br)c1[O-])[nH]2)=N
DB13327,Picotamide,32828-81-2,654G2VCI4Q,,COc(ccc(C(NCc1cnccc1)=O)c1)c1C(NCc1cnccc1)=O
DB16165,Finerenone,1050477-31-0,DE2O63YV8R,Finerenone,CCOc1ncc(C)c2c1[C@H](c(ccc(C#N)c1)c1OC)C(C(N)=O)=C(C)N2
DB07091,(S)-N-(4-carbamimidoylbenzyl)-1-(2-(cyclohexyloxy)ethanoyl)pyrrolidine-2-carboxamide,,,,NC(c1ccc(CNC(C(CCC2)N2C(COC2CCCCC2)=O)=O)cc1)=N
DB11841,Entinostat,209783-80-2,1ZNY4FKK9H,Entinostat; Entinostatum; N-(2-aminophenyl)-4-(N-(pyridin-3-ylmethoxycarbonyl)aminomethyl)benzamide; N-[[4-[(2-aminoanilino)-oxomethyl]phenyl]methyl]carbamic acid 3-pyridinylmethyl ester,Nc(cccc1)c1NC(c1ccc(CNC(OCc2cnccc2)=O)cc1)=O
DB07987,"[2-(5-Mercapto-[1,3,4]thiadiazol-2-ylcarbamoyl)-1-phenyl-ethyl]-carbamic acid benzyl ester",,,,O=C(CC(c1ccccc1)NC(OCc1ccccc1)=O)NC(S1)=NNC1=S
DB11765,PF-04991532,1215197-37-7,AJ212MS2O2,,OC(c(cc1)cnc1NC(C(CC1CCCC1)n1cnc(C(F)(F)F)c1)=O)=O
DB08811,Tofisopam,22345-47-7,UZC80HAU42,Tofisopam; Tofisopamum,CCC(c1c2)C(C)=NN=C(c(cc3)cc(OC)c3OC)c1cc(OC)c2OC
DB06582,Dextofisopam,82059-50-5,EZ15I5D6C1,Dextofisopam; R-tofisopam,CC[C@H](c1c2)C(C)=NN=C(c(cc3)cc(OC)c3OC)c1cc(OC)c2OC
DB06403,Ambrisentan,177036-94-1,HW6NV07QEC,"(2S)-2-[(4,6-dimethylpyrimidin-2-yl)oxy]-3-methoxy- 3,3-diphenylpropanoic acid; Ambrisentan",Cc1nc(O[C@@H](C(c2ccccc2)(c2ccccc2)OC)C(O)=O)nc(C)c1
DB06865,6-CARBAMIMIDOYL-2-[2-HYDROXY-6-(4-HYDROXY-PHENYL)-INDAN-1-YL]-HEXANOIC ACID,,,,NC(CCCC[C@@H]([C@@H]([C@@H](C1)O)c2c1ccc(-c(cc1)ccc1O)c2)C(O)=O)=N
DB02936,4-(1-Benzyl-3-Carbamoylmethyl-2-Methyl-1h-Indol-5-Yloxy)-Butyric Acid,,,,Cc1c(CC(N)=O)c(cc(cc2)OCCCC(O)=O)c2n1Cc1ccccc1
DB02834,IDD552,,,,OC(COc(cc(cc1)F)c1C(NCc(sc1c(cc2F)F)nc1c2F)=O)=O
DB09179,R-30490,60618-49-7,03DNV05OD4,,CCC(N(C1(COC)CCN(CCc2ccccc2)CC1)c1ccccc1)=O
DB08990,Eprazinone,10402-90-1,883YNL63WU,eprazinona; Eprazinone; Éprazinone,CCOC(CN1CCN(CC(C)C(c2ccccc2)=O)CC1)c1ccccc1
DB08498,"(1S)-1-(3-chlorophenyl)-2-oxo-2-[(1,3,4-trioxo-1,2,3,4-tetrahydroisoquinolin-5-yl)amino]ethyl acetate",,,,CC(OC(C(Nc(cccc1C(NC2=O)=O)c1C2=O)=O)c1cccc(Cl)c1)=O
DB13739,Penamecillin,983-85-7,H0P1YE5581,Acetoxymethyl benzylpenicillanate; Benzylpenicillin acetoxymethyl ester; Penamecilina; Penamecillin; Pénamécilline; Penamecillinum,CC(C)([C@H]1C(OCOC(C)=O)=O)S[C@@H]([C@H]2NC(Cc3ccccc3)=O)N1C2=O
DB09169,3-Allylfentanyl,82208-84-2,V990X77S2I,,CCC(N([C@@H]1[C@H](CC=C)CN(CCc2ccccc2)CC1)c1ccccc1)=O
DB02544,"N-(6-{[3-(4-Bromophenyl)-1,2-Benzisothiazol-6-Yl]Oxy}Hexyl)-N-Methylprop-2-En-1-Amine",,,,CN(CCCCCCOc(cc1)cc2c1c(-c(cc1)ccc1Br)ns2)CC=C
DB11957,Idalopirdine,467459-31-0,59WCJ0YNWM,Idalopirdine,FC(C(COc1cccc(CNCCc2c[nH]c3c2ccc(F)c3)c1)(F)F)F
