Drug,CNS,TPSA,TPSA_S,HBA,HBD,MW,nAtoms,cLogD_ACD_v15,mapKa,cLogP_Biobyte,mbpKa,cLogP_ACD_v15,ALogP98,Smiles
Paricalcitol,FALSE,60.69,60.69,3,3,416.63646,30,5.83,5.69,5.83,4.863,0.78,0,[C@H]1\2[C@@]([C@@H]([C@@H](\C=C\[C@@H](C(C)(C)O)C)C)CC1)(CCCC2=C\C=C3/C[C@H](C[C@@H](C3)O)O)C
Pemoline,FALSE,64.67,64.67,4,1,176.17202,13,0.52,0.46,0.52,1.26,0.11,1,O=C2\N=C(/OC2c1ccccc1)N
Penicillamine,FALSE,63.31,102.11,4,3,149.21133,9,-1.57,2.13,-1.73,11.64,0.93,-1.70E-02,CC(C)([C@H](C(=O)O)N)S
Phenazone,FALSE,23.55,23.55,2,0,188.22578,14,0.27,0.2,0.27,1.606,0.18,1,O=C2\C=C(/N(N2c1ccccc1)C)C
Phenazopyridine,FALSE,89.65,89.65,5,2,213.23853,16,3.34,2.05,4.49,3.34,2.633,0,C1=C(C(=NC(=C1)N)N)N=NC2=CC=CC=C2
Phenprocoumon,FALSE,46.53,46.53,3,1,280.31784,21,1.97,4.5,4.71,4.77,4.004,0.17,OC=1c3ccccc3OC(=O)C=1C(CC)c2ccccc2
Phensuximide,FALSE,37.38,37.38,2,0,189.21054,14,0.77,0.94,0.77,1.432,0.27,1,O=C2N(C(=O)CC2c1ccccc1)C
Phenylephrine,FALSE,52.49,52.49,3,3,167.20502,12,-1.92,-0.09,9.22,-0.03,0.615,0.33,O[C@H](c1cc(O)ccc1)CNC
Pilocarpine,FALSE,44.12,44.12,3,0,208.25694,15,-0.24,-0.2,7.02,-0.1,0.965,0.64,O=C2OC[C@H](Cc1n(cnc1)C)[C@@H]2CC
Pinacidil,FALSE,73.09,73.09,5,2,245.32345,18,2.85,2.23,6,2.87,1.931,0.46,CC(C(C)(C)C)N=C(NC#N)NC1=CC=NC=C1
Pipobroman,FALSE,40.62,40.62,2,0,356.05424,16,0.98,0.23,0.98,0.647,0.8,0,O=C(N1CCN(C(=O)CCBr)CC1)CCBr
Pirenzepine,FALSE,68.78,68.78,5,1,351.40234,26,-0.37,-0.35,7.27,-0.08,1.039,0.32,O=C3c1ccccc1N(C(=O)CN2CCN(C)CC2)c4ncccc4N3
Pitavastatin,FALSE,90.65,90.65,5,3,421.46076,31,0.32,4.24,3.59,4.68,3.45,3.953,O=C(O)C[C@H](O)C[C@H](O)/C=C/c1c(c3ccccc3nc1C2CC2)c4ccc(F)cc4
Ponatinib,FALSE,65.77,65.77,5,1,532.55948,39,3.39,5.77,7.74,3.79,5.145,0.28,Cc1ccc(cc1C#Cc2cnc3n2nccc3)C(=O)Nc4ccc(c(c4)C(F)(F)F)CN5CCN(CC5)C
Pralidoxime,FALSE,34.28,34.28,2,1,137.15916,10,0.86,0.55,0.86,-0.937,0.14,0,O=[NH+]C=C1\C=C/C=C\N1C
Pravastatin,FALSE,124.29,124.29,7,4,424.52773,30,-1.73,4.31,2.05,1.35,2.157,0.74,O=C(O)C[C@H](O)C[C@H](O)CC[C@H]2[C@H](/C=C\C1=C\[C@@H](O)C[C@H](OC(=O)[C@@H](C)CC)[C@@H]12)C
Primaquine,FALSE,60.17,60.17,4,2,259.34674,19,-0.06,2.6,10.38,2.67,1.999,0.4,O(c1cc(NC(C)CCCN)c2ncccc2c1)C
Probenecid,FALSE,74.68,83.06,4,1,285.35926,19,0.26,3.69,3.37,3.3,2.321,0.46,O=S(=O)(N(CCC)CCC)c1ccc(C(=O)O)cc1
Probucol,FALSE,40.46,91.06,4,2,516.84161,35,10.27,10.97,10.27,9.779,0.61,2,S(c1cc(c(O)c(c1)C(C)(C)C)C(C)(C)C)C(Sc2cc(c(O)c(c2)C(C)(C)C)C(C)(C)C)(C)C
Proguanil,FALSE,88.79,88.79,5,3,253.73124,17,1.83,1.16,11.29,2.66,2.226,0.27,Clc1ccc(NC(=N/C(=N/C(C)C)N)N)cc1
Propantheline,FALSE,35.53,35.53,3,0,368.4892,27,-1.77,1.49,-1.77,3.181,0.43,2,O=C(OCC[N+](C(C)C)(C(C)C)C)C2c3c(Oc1c2cccc1)cccc3
Propylthiouracil,FALSE,41.13,73.22,2,2,170.2321,11,1.25,7.63,0.97,7.35,1.37,1.381,S=C1N/C(=C\C(=O)N1)CCC
Protokylol,FALSE,91.18,91.18,6,4,331.36304,24,0.05,1.69,8.98,1.6,2.423,0.33,O1c2ccc(cc2OC1)CC(NCC(O)c3ccc(O)c(O)c3)C
Pyridostigmine,FALSE,33.42,33.42,2,0,181.21172,13,-4.31,-4.26,-4.31,0.751,0.33,1,O=C(Oc1ccc[n+](c1)C)N(C)C
Quinestrol,FALSE,29.46,29.46,2,1,364.52037,27,6.67,5.92,6.67,6.514,0.68,1,O(c1ccc2c(c1)CC[C@H]3[C@@H]4CC[C@](C#C)(O)[C@@]4(C)CC[C@H]23)C5CCCC5
Quinethazone,FALSE,101.29,109.67,4,3,289.73858,18,0.49,0.58,0.49,0.848,0.3,1,O=S(=O)(c2c(Cl)cc1c(C(=O)NC(N1)CC)c2)N
Quinidine,FALSE,45.59,45.59,4,1,324.41676,24,1.6,2.79,9.28,3.44,2.733,0.45,O(c4cc1c(nccc1[C@H](O)[C@@H]2N3CC[C@@H](C2)[C@@H](/C=C)C3)cc4)C
Rabeprazole,FALSE,77.1,96.31,5,1,359.44263,25,1.83,2.08,4.54,1.83,2.366,0.33,O=S(c2nc1ccccc1n2)Cc3nccc(OCCCOC)c3C
Raloxifene,FALSE,70,98.24,5,2,473.58327,34,5.63,6.86,8.03,6.8,6.37,0.25,O=C(c1c3ccc(O)cc3sc1c2ccc(O)cc2)c5ccc(OCCN4CCCCC4)cc5
Raltegravir,FALSE,150.01,150.01,7,3,444.41634,32,-3.48,4.5,1.16,-0.68,-0.291,0.3,Cc1nnc(o1)C(=O)NC(C)(C)C\3=N\C(C(=O)NCc2ccc(F)cc2)=C(\O)C(=O)N/3C
Ranolazine,FALSE,74.27,74.27,6,2,427.53651,31,3.44,1.01,7.82,3.47,2.991,0.46,O=C(Nc1c(cccc1C)C)CN3CCN(CC(O)COc2ccccc2OC)CC3
Regorafenib,FALSE,92.35,92.35,4,3,482.81541,33,5.25,5.18,5.26,4.381,0.1,3,CNC(=O)c1cc(ccn1)Oc2ccc(c(c2)F)NC(=O)Nc3ccc(c(c3)C(F)(F)F)Cl
Repaglinide,FALSE,78.86,78.86,5,2,452.58573,33,1.8,4.19,6.02,5.78,4.69,5.307,O=C(O)c1ccc(cc1OCC)CC(=O)N[C@H](c2ccccc2N3CCCCC3)CC(C)C
Reserpine,FALSE,117.78,117.78,10,1,608.67869,44,3.81,3.86,7.25,4.05,4.242,0.52,O=C(OC)[C@H]6[C@H]4C[C@@H]3c2nc1cc(OC)ccc1c2CCN3C[C@H]4C[C@@H](OC(=O)c5cc(OC)c(OC)c(OC)c5)[C@@H]6OC
Ribavirin,FALSE,143.71,143.71,7,4,244.20467,17,-2.26,-2.85,-2.26,-2.746,0.62,1,OC[C@@H](O1)[C@@H](O)[C@@H](O)[C@@H]1N2N=C(C(N)=O)N=C2
Riociguat,FALSE,138.07,138.07,8,2,422.41566,31,-0.31,1.84,1.95,-0.31,2.201,0.15,c14ncccc4c(-c(nc2N)nc(N)c2N(C)C(=O)OC)nn1Cc3ccccc3F
Risedronate,FALSE,167.8,167.8,8,5,283.11226,17,-8.31,1.1,-2.62,5.07,-2.94,-0.263,OC(Cc1cccnc1)(P(=O)(O)O)P(=O)(O)O
Ritodrine,FALSE,72.72,72.72,4,4,287.35354,21,-0.29,1.65,9.31,1.61,2.655,0.29,O[C@H](c1ccc(O)cc1)[C@@H](NCCc2ccc(O)cc2)C
Ritonavir,FALSE,145.77,202.26,7,4,720.94422,50,5.28,4.94,2.48,5.28,5.237,0.43,CC(C)c4nc(CN(C)C(=O)N[C@@H](C(C)C)C(=O)N[C@@H](Cc1ccccc1)C[C@H](O)[C@H](Cc2ccccc2)NC(=O)OCc3cncs3)cs4
Rivaroxaban,FALSE,88.18,116.42,5,1,435.88131,29,1.84,2.39,1.84,1.984,0.32,2,c1cc(ccc1N2CCOCC2=O)N3C[C@@H](OC3=O)CNC(=O)c4ccc(s4)Cl
Roflumilast,FALSE,60.45,60.45,4,1,403.20746,26,4.83,3,4.83,4.402,0.29,2,C1CC1COC2=C(C=CC(=C2)C(=O)NC3=C(C=NC=C3Cl)Cl)OC(F)F
Rosiglitazone,FALSE,71.53,96.83,6,1,357.42676,25,1.47,6.34,3.02,6.5,2.56,3.462,O=C1NC(=O)SC1Cc3ccc(OCCN(c2ncccc2)C)cc3
Rosuvastatin,FALSE,140.91,149.3,8,3,481.53762,33,-2.71,4.25,1.9,0.42,2.427,0.41,O=S(=O)(N(c1nc(c(c(n1)C(C)C)/C=C/[C@@H](O)C[C@@H](O)CC(=O)O)c2ccc(F)cc2)C)C
Ruxolitinib,FALSE,83.18,83.18,4,1,306.36501,23,1.69,2.18,2.57,1.69,2.741,0.41,C1CCC(C1)C(CC#N)N2C=C(C=N2)C3=C4C=CNC4=NC=N3
Sapropterin,FALSE,132,132,8,6,241.2471,17,-4.95,-3.69,9.2,-4.22,-2.336,0.56,O=C2\N=C(/NC=1NC[C@@H](NC=12)[C@@H](O)[C@@H](O)C)N
Saquinavir,FALSE,166.75,166.75,7,5,670.8408,49,4.41,4.73,7.61,4.44,3.667,0.5,O=C(N)C[C@H](NC(=O)c1nc2c(cc1)cccc2)C(=O)N[C@@H](Cc3ccccc3)[C@H](O)CN5[C@H](C(=O)NC(C)(C)C)C[C@@H]4CCCC[C@@H]4C5
Sibutramine,FALSE,3.24,3.24,1,0,279.84804,19,3.2,5.59,9.69,5.43,5.176,0.65,ClC1=CC=C(C2(CCC2)C(CC(C)C)N(C)C)C=C1
Sildenafil,FALSE,109.13,117.51,7,1,474.57639,33,2.25,1.98,6.03,2.27,2.247,0.5,CN1CCN(S(=O)(C2=CC=C(OCC)C(C3=NC4=C(N(C)N=C4CCC)C(N3)=O)=C2)=O)CC1
Silodosin,FALSE,97.05,97.05,6,3,495.53448,35,1.05,2.97,8.93,2.52,3.451,0.48,FC(F)(F)COc3ccccc3OCCN[C@H](C)Cc1cc2c(c(c1)C(=O)N)N(CC2)CCCO
Simeprevir,FALSE,156.88,193.5,9,2,749.93908,52,3.05,4.47,5.3,3.01,4.99,4.705,Cc1c(ccc2c1nc(cc2O[C@@H]3C[C@@H]4[C@@H](C3)C(=O)N(CCCC/C=C\[C@@H]5C[C@]5(NC4=O)C(=O)NS(=O)(=O)C6CC6)C)c7nc(cs7)C(C)C)OC
Sitagliptin,FALSE,77.04,77.04,4,1,407.31361,28,1.21,0.69,7.21,1.3,1.93,0.44,Fc1cc(c(F)cc1F)C[C@@H](N)CC(=O)N3Cc2nnc(n2CC3)C(F)(F)F
Sodium,FALSE,40.12,40.12,2,0,163.19314,12,-0.19,4.76,2.28,2.42,0.932,0.3,O=C([O-])CCCC1=CC=CC=C1
Sofosbuvir,FALSE,162.53,162.53,9,3,529.45252,36,1.61,0.84,1.62,1.302,0.5,1,C[C@@H](C(OC(C)C)=O)N[P@](OC[C@@H]1[C@H]([C@@](F)([C@@H](O1)N2C=CC(NC2=O)=O)C)O)(OC3=CC=CC=C3)=O
Sotalol,FALSE,78.43,86.81,4,3,272.3638,18,-1.6,0.23,0.32,0.494,0.5,1,O=S(=O)(Nc1ccc(cc1)C(O)CNC(C)C)C
Sparfloxacin,FALSE,98.9,98.9,7,3,392.39978,28,-0.54,6.26,-0.1,8.59,1.2,1.649,C[C@@H]1CN(C[C@@H](N1)C)c2c(c(c3c(c2F)n(cc(c3=O)C(=O)O)C4CC4)N)F
Spirapril,FALSE,95.94,146.54,8,2,466.61399,31,-0.48,2.99,1.05,5.28,3.16,3.001,O=C(OCC)[C@@H](N[C@H](C(=O)N2[C@H](C(=O)O)CC1(SCCS1)C2)C)CCc3ccccc3
Spironolactone,FALSE,60.44,85.74,5,0,416.57347,29,3.12,2.84,3.12,3.731,0.79,0,O=C5O[C@@]4([C@@]3([C@H]([C@@H]2[C@H](SC(=O)C)C/C1=C/C(=O)CC[C@]1(C)[C@H]2CC3)CC4)C)CC5
Stanozolol,FALSE,48.91,48.91,2,2,328.49157,24,5.53,4.56,3.86,5.53,3.849,0.86,O[C@@]5(C)CC[C@H]4[C@H]3[C@@H]([C@]2(Cc1c(nnc1)C[C@@H]2CC3)C)CC[C@@]45C
Stavudine,FALSE,78.87,78.87,4,2,224.21328,16,-0.86,-0.49,-0.86,-0.321,0.4,0,O=C1/C(=C\N(C(=O)N1)[C@@H]/2O[C@@H](\C=C\2)CO)C
Succimer,FALSE,74.59,152.19,6,4,182.21804,10,-2.82,2.74,-1.48,1.93,0.279,0.5,O=C(O)[C@@H](S)[C@@H](S)C(=O)O
Sulfacytine,FALSE,104.86,113.24,5,2,294.32955,20,-2.49,2.78,-0.33,-0.49,0.208,0.17,CCN1C=CC(NS(=O)(=O)C2=CC=C(N)C=C2)=NC1=O
Sulfadoxine,FALSE,116.43,124.8,7,2,310.32896,21,-1.49,6.16,1.23,0.34,0.837,0.17,COC1=C(N=CN=C1OC)NS(=O)(=O)C2=CC=C(C=C2)N
Sulfameter,FALSE,107.2,115.58,6,2,280.30298,19,-0.48,6.69,0.65,0.42,0.297,0.09,O=S(=O)(Nc1ncc(OC)cn1)c2ccc(N)cc2
Sulfamethizole,FALSE,97.97,134.59,5,2,270.3313,17,-1.17,5.51,0.42,0.51,0.772,0.11,O=S(=O)(Nc1nnc(s1)C)c2ccc(N)cc2
Sulfamethoxazole,FALSE,98.22,106.6,4,2,253.27763,17,-0.32,5.81,0.56,0.89,0.709,0.1,O=S(=O)(Nc1noc(c1)C)c2ccc(N)cc2
Sulfaphenazole,FALSE,90.01,98.39,4,2,314.36226,22,0.98,6.47,2.07,1.52,1.922,0,O=S(=O)(c1ccc(N)cc1)Nc3ccnn3c2ccccc2
Sulfasalazine,FALSE,141.31,149.69,8,3,398.39255,28,0.03,2.88,3.88,3.18,3.463,0,O=S(=O)(Nc1ccccn1)c3ccc(/N=N/c2cc(C(O)=O)c(O)cc2)cc3
Sulfinpyrazone,FALSE,57.69,76.9,3,0,404.4815,29,-0.2,5.44,1.66,2.3,3.434,0.13,O=C2N(c1ccccc1)N(C(=O)C2CCS(=O)c3ccccc3)c4ccccc4
Sulfoxone,FALSE,132.79,179.59,8,4,404.48164,25,-6.5,2.58,-1.21,-2,1.132,0.14,OS(=O)CNc1ccc(cc1)S(=O)(=O)c2ccc(NCS(=O)O)cc2
Sumatriptan,FALSE,65.2,73.58,3,2,295.40043,20,-1.21,0.74,9.49,0.67,1.436,0.43,O=S(=O)(NC)Cc1cc2c(cc1)ncc2CCN(C)C
Sunitinib,FALSE,77.23,77.23,3,3,398.47378,29,1.33,3,9.78,3.15,2.997,0.36,CCN(CC)CCNC(=O)c1c(c([nH]c1C)/C=C\2/c3cc(ccc3NC2=O)F)C
Tamsulosin,FALSE,99.88,108.26,6,2,408.51172,28,0.86,2.17,9.03,2.24,2.719,0.4,CCOc1ccccc1OCCN[C@@H](C)Cc1ccc(OC)c(c1)S(=O)(=O)N
Tedizolid,FALSE,106.26,106.26,7,1,370.3378,27,1.56,1.28,1.56,1.784,0.24,3,O=C4O[C@H](CN4c3cc(F)c(c1ccc(nc1)c2nn(nn2)C)cc3)CO
Tegaserod,FALSE,85.29,85.29,3,4,301.38671,22,2.41,2.81,9.65,2.91,3.131,0.38,CCCCCNC(=N)N\N=C\c2cnc1ccc(cc12)OC
Telaprevir,FALSE,179.56,179.56,8,4,679.84932,49,3.93,5.35,3.93,2.685,0.72,1,CCC[C@@H](C(=O)C(=O)NC1CC1)NC(=O)[C@@H]2[C@H]3CCC[C@H]3CN2C(=O)[C@H](C(C)(C)C)NC(=O)[C@H](C4CCCCC4)NC(=O)c5cnccn5
Telithromycin,FALSE,171.85,171.85,13,1,812.0037,58,3.79,3.75,8.13,4.52,4.172,0.72,O=C2[C@@H]([C@@H](O[C@@H]1O[C@@H](C[C@H](N(C)C)[C@H]1O)C)[C@@](OC)(C)C[C@H](C(=O)[C@H](C)[C@H]3N(C(=O)O[C@]3(C)[C@H](OC(=O)[C@@H]2C)CC)CCCCn4cc(nc4)c5cccnc5)C)C
Tenofovir,FALSE,146.19,146.19,8,3,287.21232,19,-5.63,2.09,-1.56,4.36,-1.71,-0.911,O=P(O)(O)CO[C@H](C)Cn1c2ncnc(c2nc1)N
Testolactone,FALSE,43.37,43.37,3,0,300.39206,22,2.52,2.63,2.52,3.263,0.68,0,CC12CCC3C(C1CCC(=O)O2)CCC4=CC(=O)C=CC34C
Thiabendazole,FALSE,41.57,69.81,2,1,201.24768,14,2.47,2.36,3.58,2.47,2.368,0,[nH]1c2ccccc2nc1c3cscn3
Thioguanine,FALSE,79.09,111.18,5,3,167.1917,11,-0.16,-1.88,11.12,-0.16,-4.20E-02,0,S=C2/N=C(\Nc1ncnc12)N
Ticagrelor,FALSE,138.44,163.74,10,4,522.56802,36,1.9,2.55,3.12,1.9,2.703,0.57,CCCSC1=NC(=C2C(=N1)N(N=N2)[C@@H]3C[C@@H]([C@H]([C@H]3O)O)OCCO)N[C@@H]4C[C@H]4C5=CC(=C(C=C5)F)F
Ticlopidine,FALSE,3.24,31.47,1,0,263.78566,17,3.6,4.39,7.1,3.77,3.665,0.29,Clc1ccccc1CN3Cc2c(scc2)CC3
Tiludronate,FALSE,134.68,159.97,7,4,318.60828,17,-5.75,0.83,0.26,-0.32,2.281,0.14,c1cc(ccc1SC(P(=O)(O)O)P(=O)(O)O)Cl
Tinidazole,FALSE,97.78,106.16,5,0,247.27152,16,-0.27,-0.32,2.3,-0.27,0.149,0.62,[O-][N+](=O)c1cnc(n1CCS(=O)(=O)CC)C
Tiopronin,FALSE,66.4,105.19,4,3,163.19485,10,-4.01,3.4,-0.23,-0.33,-0.362,0.6,CC(S)C(=O)NCC(O)=O
Tipranavir,FALSE,105.58,113.96,6,2,602.66432,42,3.19,4.5,7.76,7.21,6.948,0.35,CCC[C@]1(CC(/O)=C(\C(=O)O1)[C@H](CC)c3cccc(NS(=O)(=O)c2ccc(cn2)C(F)(F)F)c3)CCc4ccccc4
Tofacitinib,FALSE,88.91,88.91,5,1,312.3696,23,-1.01,6.04,1.52,6.78,0.93,1.372,CC2CCN(C(=O)CC#N)CC2N(C)c3ncnc1nccc13
Tolazamide,FALSE,78.5,86.89,4,2,311.39983,21,-0.13,5.03,1.34,3.26,1.71,2.483,O=S(=O)(c1ccc(cc1)C)NC(=O)NN2CCCCCC2
Tolrestat,FALSE,49.77,81.86,4,1,357.34746,24,-0.25,3.49,3.43,3.41,3.458,0.25,CN(CC(=O)O)C(=S)C1=CC=CC2=C1C=CC(=C2C(F)(F)F)OC
Torsemide,FALSE,100.19,108.57,5,3,348.41999,24,1.54,2.63,3.36,5.33,3.52,2.133,O=S(=O)(c2c(Nc1cc(ccc1)C)ccnc2)NC(=O)NC(C)C
Tranexamic,FALSE,63.32,63.32,3,2,157.21019,11,-2.19,4.79,-1.8,10.27,0.32,0.725,NC[C@@H]1CC[C@H](CC1)C(O)=O
Treprostinil,FALSE,86.99,86.99,5,3,390.51306,28,0.78,3.19,3.72,4.4,4.435,0.7,O=C(O)COC1=C2C[C@@]3([H])C[C@@H](O)[C@H](CC[C@@H](O)CCCCC)[C@@]3([H])CC2=CC=C1
Triamterene,FALSE,129.62,129.62,7,3,253.26264,19,1.3,1.61,6.3,1.34,1.278,0,C3=C(C1=C(N=C2C(=N1)C(=NC(=N2)N)N)N)C=CC=C3
Tridihexethyl,FALSE,20.23,20.23,1,1,318.51663,23,-1.81,1.32,-1.81,3.191,0.71,1,OC(c1ccccc1)(CC[N+](CC)(CC)CC)C2CCCCC2
Trimethobenzamide,FALSE,69.26,69.26,6,1,388.45741,28,0.6,2.33,8.66,1.85,2.694,0.38,O=C(c1cc(OC)c(OC)c(OC)c1)NCc2ccc(OCCN(C)C)cc2
Trimethoprim,FALSE,105.51,105.51,7,2,290.31772,21,0.67,0.98,7.25,0.79,1.543,0.29,COc1cc(cc(c1OC)OC)Cc2cnc(nc2N)N
Trioxsalen,FALSE,39.44,39.44,2,0,228.24327,17,3.8,3.47,3.8,3.281,0.21,2,O=C/3Oc2c(c1oc(cc1cc2\C(=C\3)C)C)C
Troleandomycin,FALSE,184.19,184.19,16,0,813.96838,57,2.79,4.2,7.84,3.36,3.039,0.88,O=C(O[C@@H]4[C@@H](N(C)C)C[C@H](O[C@H]4O[C@@H]3[C@H]([C@H](O[C@@H]1O[C@H]([C@H](OC(=O)C)[C@@H](OC)C1)C)[C@H](C(=O)O[C@H](C)[C@H](C)[C@H](OC(=O)C)[C@H](C(=O)[C@]2(OC2)C[C@@H]3C)C)C)C)C)C
Trospium,FALSE,46.53,46.53,3,1,392.51059,29,0.7,-1.16,0.7,2.349,0.48,2,OC(c1ccccc1)(c2ccccc2)C(=O)O[C@@H]3C[C@@H]5CC[C@H](C3)[N+]45CCCC4
Trovafloxacin,FALSE,99.76,99.76,7,2,416.3533,30,-1.11,5.8,0.33,7.92,0.96,2.213,O=C(O)C2=CN(c1nc(c(F)cc1C2=O)N3C[C@H]4[C@H](N)[C@H]4C3)c5ccc(F)cc5F
Uracil,FALSE,61.44,61.44,3,2,252.09784,15,1.11,0.6,1.13,0.284,0.5,0,O=C1C(\N(CCCl)CCCl)=C/NC(=O)N1
Valsartan,FALSE,112.07,112.07,6,2,435.51876,32,0.01,3.53,4.86,4.74,4.448,0.38,O=C(O)[C@@H](N(C(=O)CCCC)Cc3ccc(c1ccccc1c2nnnn2)cc3)C(C)C
Vandetanib,FALSE,59.51,59.51,6,1,475.35396,30,4.01,5.84,9.27,5.5,5.087,0.36,CN1CCC(CC1)COc2cc3c(cc2OC)c(ncn3)Nc4ccc(cc4F)Br
Vemurafenib,FALSE,91.92,100.3,4,2,489.92212,33,3.19,4.17,4.26,4.813,0.13,4,CCCS(=O)(=O)Nc1ccc(F)c(c1F)C(=O)c2c[nH]c3c2cc(cn3)c4ccc(Cl)cc4
Vismodegib,FALSE,76.13,84.51,4,1,421.29706,27,2.98,2.74,3.73,2.98,4.265,0.05,CS(=O)(=O)C1=CC(=C(C=C1)C(=O)NC2=CC(=C(C=C2)Cl)C3=CC=CC=N3)Cl
Vorapaxar,FALSE,77.52,77.52,5,1,492.58172,36,4.54,4.34,3.66,4.54,5.261,0.48,Fc1cccc(c1)c2ccc(nc2)\C=C\[C@H]4[C@H]3[C@@H](C[C@H](NC(=O)OCC)CC3)C[C@H]5C(=O)O[C@@H]([C@@H]45)C
Zafirlukast,FALSE,115.73,124.11,6,2,575.67522,41,4.28,4.01,7.09,6.15,6.299,0.29,O=S(=O)(c1ccccc1C)NC(=O)c2ccc(c(OC)c2)Cc4c3cc(ccc3n(c4)C)NC(=O)OC5CCCC5
Zidovudine,FALSE,128.62,128.62,6,2,267.24132,19,-0.53,0.04,-0.53,-0.163,0.6,0,O=C1NC(C(C)=CN1[C@@H]2O[C@H](CO)[C@@H](N=[N+]=[N-])C2)=O
Zileuton,FALSE,66.56,94.8,2,2,236.29018,16,3.74,2.48,3.74,1.926,0.18,2,O=C(N)N(O)C(c2sc1ccccc1c2)C
Abiraterone,TRUE,33.12,33.12,2,1,349.50904,26,5.7,5.17,5.31,5.7,4.223,0.62,O[C@@H]2C/C1=C/C[C@@H]4[C@@H]([C@@]1(C)CC2)CC[C@@]3(C(=C/C[C@H]34)\c5cccnc5)C
Acebutolol,TRUE,87.66,87.66,5,3,336.42591,24,-0.11,1.71,9.41,1.95,1.615,0.56,O=C(Nc1ccc(OCC(O)CNC(C)C)c(c1)C(=O)C)CCC
Acetaminophen,TRUE,49.33,49.33,2,2,151.16256,11,0.34,0.49,0.34,0.708,0.12,1,CC(NC1=CC=C(O)C=C1)=O
Acetazolamide,TRUE,115.04,151.66,5,2,222.24543,13,-0.76,7.44,-0.98,-0.26,-0.579,0.25,O=S(=O)(c1nnc(s1)NC(=O)C)N
Acetophenazine,TRUE,47.02,72.32,6,1,411.56025,29,2.87,2.71,8.52,3.22,3.233,0.43,O=C(c2cc1N(c3c(Sc1cc2)cccc3)CCCN4CCN(CCO)CC4)C
Acitretin,TRUE,46.53,46.53,3,1,326.42933,24,3.03,4.66,6.07,5.73,5.666,0.29,O=C(O)\C=C(\C=C\C=C(\C=C\c1c(cc(OC)c(c1C)C)C)C)C
Afatinib,TRUE,88.61,88.61,7,2,485.9384,34,3.03,4.49,8.01,3.59,3.917,0.29,CN(C)C\C=C\C(=O)Nc3cc1c(Nc(cc2Cl)ccc2F)ncnc1cc3OC4COCC4
Albendazole,TRUE,67,92.31,4,2,265.3314,18,3.06,3.46,5.62,3.07,3.065,0.33,O=C(OC)Nc2nc1ccc(SCCC)cc1n2
Almotriptan,TRUE,56.41,64.79,3,1,335.46429,23,-0.02,1.79,9.48,1.89,2.103,0.53,O=S(=O)(N1CCCC1)Cc3cc2c(cnc2cc3)CCN(C)C
Alprazolam,TRUE,43.07,43.07,3,0,308.76491,22,2.5,2.56,2.28,2.5,3.513,0.12,ClC1=CC2=C(C=C1)N3C(C)=NN=C3CN=C2C4=CC=CC=C4
Alprenolol,TRUE,41.49,41.49,3,2,249.34862,18,0.79,2.65,9.45,2.88,2.639,0.47,O(c1ccccc1C\C=C)CC(O)CNC(C)C
Amantadine,TRUE,26.02,26.02,1,1,151.24868,11,-0.69,2,10.76,2.22,1.495,1,NC13CC2CC(CC(C1)C2)C3
Aminoglutethimide,TRUE,72.19,72.19,3,2,232.27834,17,1.41,0.77,4.41,1.41,1.479,0.38,O=C1NC(=O)CCC1(c2ccc(N)cc2)CC
Amitriptyline,TRUE,3.24,3.24,1,0,277.40332,21,3.15,4.85,9.18,4.92,4.772,0.3,c3cc2c(/C(c1c(cccc1)CC2)=C\CCN(C)C)cc3
Amlodipine,TRUE,99.88,99.88,7,2,408.87589,28,2.64,3.43,8.97,4.16,1.576,0.4,Clc1ccccc1C2C(=C(/N/C(=C2/C(=O)OCC)COCCN)C)\C(=O)OC
Amoxapine,TRUE,36.86,36.86,4,1,313.78144,22,1.2,3.41,8.62,2.35,2.897,0.24,Clc2ccc1Oc4c(/N=C(\c1c2)N3CCNCC3)cccc4
Amphetamine,TRUE,26.02,26.02,1,1,135.20622,10,-0.63,1.74,9.94,1.81,1.634,0.33,NC(CC1=CC=CC=C1)C
Anileridine,TRUE,55.56,55.56,4,1,352.46992,26,2.05,3.1,8.73,3.02,3.603,0.41,O=C(OCC)C3(c1ccccc1)CCN(CCc2ccc(N)cc2)CC3
Aniracetam,TRUE,46.61,46.61,3,0,219.23652,16,0.27,0.72,0.27,1.791,0.33,1,O=C2N(C(=O)c1ccc(OC)cc1)CCC2
Apomorphine,TRUE,43.7,43.7,3,2,267.32238,20,2.51,2.49,7.88,3.05,3.116,0.29,OC1=C(O)C(C2=CC=CC3=C2[C@@H](C4)N(C)CC3)=C4C=C1
Aprepitant,TRUE,75.19,75.19,6,2,534.42666,37,4.23,4.83,4.35,4.23,4.635,0.39,FC(F)(F)c1cc(cc(c1)C(F)(F)F)[C@H](O[C@H]4OCCN(CC/2=N/C(=O)NN\2)[C@H]4c3ccc(F)cc3)C
Aripiprazole,TRUE,44.81,44.81,4,1,448.38537,30,5.37,5.82,7.89,5.59,4.998,0.43,Clc4cccc(N3CCN(CCCCOc2ccc1c(NC(=O)CC1)c2)CC3)c4Cl
Armodafinil,TRUE,60.16,79.37,2,1,273.3501,19,1.17,0.94,1.17,1.733,0.13,2,C1=CC=C(C=C1)C(C2=CC=CC=C2)[S@](=O)CC(=O)N
