denomination;categorie;avant_montant;conv_montant;remu_montant
BRISTOL-MYERS SQUIBB PHARMACEUTICALS LTD;Professionnel de santé;704;1200;
DENTSPLY SIRONA FRANCE;Etudiant;703;;
AX'AIR MEDICAL;Association professionnel de santé;700;700;
CEVA BIOVAC;Vétérinaire;700;;
DJO France SAS;Association d'étudiants;700;0;
EXPERF PYRENEES ORIENTALES;Etudiant;700;0;
Orphan Europe;Association professionnel de santé;700;6000;
Dexter;Etablissement de santé;699;0;
GEP SANTE NORMANDIE;Professionnel de santé;698;0;
SCIENCE ET MEDECINE;Etudiant;693;;
Adaptimmune LTD;Professionnel de santé;686;;
Ceva Santé Animale;Académies, Fondation, sociétés savantes, organismes de conseils;683;2826140;227162
LKN MEDICAL SARL;Professionnel de santé;680;;
HANDI PHARM POITOU;Professionnel de santé;673;;
BSN-RADIANTE SAS;Etudiant;670;;
EDAP TMS France SAS;Etudiant;668;;
SHIRE INTERNATIONAL;Personnes morales assurant la formation initiale ou continue des professionnels de santé;668;668;
ACOUSTIQUE WERNERT;Etudiant;663;;
ASDIA;Etudiant;655;0;
EXPERF PACA;Etudiant;653;;
AbbVie Spain S.L.U.;Professionnel de santé;646;3028;2688
3M Belgium bvba/sprl;Professionnel de santé;637;0;
CELGENE SAS;Etudiant;636;981;320
FILAVIE;Vétérinaire;636;4531;
PERF NUT ASSISTANCE SUD EST;Association professionnel de santé;635;;
SARL SOPHILMED LENS;Professionnel de santé;633;;
SOS OXYGENE PROVENCE;Etudiant;633;0;
HEMODIA SAS;Professionnel de santé;631;;
QUANTUM SURGICAL;Professionnel de santé;624;0;3400
AbbVie Pharmaceuticals S.A.;Professionnel de santé;609;;
Nestle Skin Health;Professionnel de santé;606;;
Aptus Health Inc.;Professionnel de santé;600;30350;34808
Kuraray Europe France;Etudiant;600;;
SANTEN;Association professionnel de santé;600;;
Sorin CRM SAS;Association professionnel de santé;600;20360;1304
SOS OXYGENE MEDITERRANEE;Association professionnel de santé;600;;
ALISEO;Etudiant;599;;
LABORATOIRES GENEVRIER;Etudiant;596;300;
RESULTIME;Professionnel de santé;594;;
NESTLE HOMECARE;Etablissement de santé;582;;
CIDELEC;Professionnel de santé;576;15700;
VYAIRE MEDICAL SAS;Professionnel de santé;571;;
SARL DLMEDICAL;Professionnel de santé;569;;
medi;Personnes morales assurant la formation initiale ou continue des professionnels de santé;567;;
TELEFLEX MEDICAL SAS;Etudiant;564;;
MYLAN MEDICAL SAS;Etablissement de santé;561;100266;86766
PERF NUT ASSISTANCE SUD EST;Professionnel de santé;561;;
CERP ROUEN;Etudiant;560;;
ViiV HEALTHCARE SAS;Association professionnel de santé;559;322790;348686
CONMED France;Etudiant;552;0;
W L GORE & ASSOCIES;Association professionnel de santé;550;307062;17600
HENRY SCHEIN FRANCE SCA;Etablissement de santé;548;;
SOUN;Association usager de santé;545;2000;
EDWARDS LIFESCIENCES CORPORATION;Etudiant;542;;
ODONTEC;Professionnel de santé;542;;
INOVITALE;Professionnel de santé;540;;
SANOFI-AVENTIS RECHERCHE & DEVELOPPEMENT;Personnes morales assurant la formation initiale ou continue des professionnels de santé;540;0;236636
Tesaro Bio France SAS;Etudiant;538;384;
Intercept Pharma France SAS;Etudiant;535;168;
PRESSE & PAPIERS;Professionnel de santé;530;;
MedDay Pharmaceuticals;Etudiant;529;;
OLYMPUS EUROPA SE & CO. KG;Etudiant;526;0;
WOO YOUNG MEDICAL FRANCE;Personnes morales assurant la formation initiale ou continue des professionnels de santé;522;;
MEDISPORT;Professionnel de santé;521;;
PFIZER PFE FRANCE;Etudiant;519;0;
LABORATOIRES CONVATEC;Personnes morales assurant la formation initiale ou continue des professionnels de santé;517;0;
PROFIL ORTHOPEDIE;Etudiant;517;;
SOS OXYGENE FRANCHE COMTE;Professionnel de santé;517;;
SANDOZ;Association usager de santé;513;20050;32224
abmedica;Professionnel de santé;510;4726;
Haemonetics France;Professionnel de santé;510;;
ACCORD HEALTHCARE FRANCE SAS;Etudiant;505;180;
ESTOR S.p.A.;Etudiant;505;;
CENTRALE DES OPTICIENS;Association d'étudiants;500;;
EXPERF COTE D'AZUR;Etudiant;500;0;
EXPERF MIDI PYRENEES;Association professionnel de santé;500;;
INOVITALE;Association usager de santé;500;;
LVL MEDICAL EST;Association professionnel de santé;500;1300;
LVL MEDICAL OUEST;Association usager de santé;500;500;
MED-EL Elektromedizinische Geraete Gesellschaft m.b.H;Académies, Fondation, sociétés savantes, organismes de conseils;500;1250;
MEDICAL INNOVATION DEVELOPPEMENT;Etablissement de santé;500;;
Pierre Fabre Dermo-Cosmétique;Personnes morales assurant la formation initiale ou continue des professionnels de santé;500;;
S.O.S. OXYGENE BRETAGNE;Association usager de santé;500;;
SOS OXYGENE MEDITERRANEE;Association usager de santé;500;;
WEINMANN SAS;Association professionnel de santé;500;;
IPSEN INNOVATION;Académies, Fondation, sociétés savantes, organismes de conseils;499;0;6860233
Marinus Pharmaceuticals, Inc.;Professionnel de santé;499;0;
ORGENTEC SAS;Professionnel de santé;499;185;
Ultradent Products GmbH;Etudiant;496;496;
Ascensia Diabetes Care France;Editeur de logiciel;494;494;
galderma international;Etudiant;491;0;
Ascensia Diabetes Care France;Etudiant;488;;
DEBREGEAS ET ASSOCIES PHARMA;Professionnel de santé;488;;
BSN-RADIANTE SAS;Vétérinaire;480;;
UPSA SAS;Etudiant;480;;
BIOSERENITY;Etablissement de santé;479;0;
THERAKOS UK Ltd;Etudiant;470;1300;1300
YPSOMED SAS;Etudiant;470;;
HUMANAIR MEDICAL;Professionnel de santé;469;;
MEDICAL INNOVATION DEVELOPPEMENT;Etudiant;469;;
QUANTA MEDCIAL;Professionnel de santé;465;0;33890
SCAR;Professionnel de santé;465;;
OXYPHARM;Etudiant;464;;
RECORDATI RARE DISEASES;Etablissement de santé;461;;
RESMED SAS;Etudiant;461;;
Weleda S.A.;Personnes morales assurant la formation initiale ou continue des professionnels de santé;461;;
AbbVie Deutschland GmbH & Co. KG;Professionnel de santé;456;;
COUSIN BIOSERV;Association professionnel de santé;450;;
Medline International France SAS;Etudiant;450;;
Advanced Accelerator Applications International SA;Professionnel de santé;440;0;
Weleda S.A.;Association professionnel de santé;438;0;18884
InnOpath sarl;Etudiant;435;;
ICON Clinical Research Limited;Etudiant;434;;
Biosphere Medical, Inc.;Professionnel de santé;432;;
Cardinal Health Switzerland 515 GmbH;Professionnel de santé;430;2212;2973
DIURNAL Group PLC;Professionnel de santé;430;;
HELP ORTHO PRODUCTION;Etudiant;429;;
RESEAU SANTE;Professionnel de santé;428;;
SOS OXYGENE PAYS DE LOIRE NORD;Etudiant;423;;
3M France;Etudiant;421;0;
Laboratoires Crinex;Professionnel de santé;421;;
laboratoire de correction de l'audition;Professionnel de santé;420;;
BRISTOL-MYERS SQUIBB;Personnes morales assurant la formation initiale ou continue des professionnels de santé;415;330621;149448
LONGIMPEx;Etablissement de santé;415;;
OST DEVELOPPEMENT;Professionnel de santé;415;;
ZOLL Médical France;Académies, Fondation, sociétés savantes, organismes de conseils;415;0;
Laboratoires Lohmann & Rauscher;Etudiant;411;308;
EVOLUTIS;Etudiant;409;;
MYLAN MEDICAL SAS;Personnes morales assurant la formation initiale ou continue des professionnels de santé;407;0;
VIRBAC FRANCE;Professionnel de santé;404;;
SARL ALLIANCESOINS;Association professionnel de santé;400;;
SARL ALLIANCESOINS;Professionnel de santé;400;330;500
L.M.D;Professionnel de santé;393;;
SuperSonic Imagine;Professionnel de santé;392;900;
Topcon SARL;Etudiant;390;0;
VETO PHARMA;Groupement professionels agricoles;390;5960;5960
KYD ORTHOPEDIE;Professionnel de santé;389;;
GROUPE INTERACTION;Professionnel de santé;388;850;4270
BRISTOL-MYERS SQUIBB;Editeur de logiciel;387;160585;1000
BALT INC.;Professionnel de santé;383;;
EFFICARE SARL;Etudiant;374;374;
INTUITIVE SURGICAL SAS;Etudiant;374;;
OrthoZ;Etudiant;370;;
ADVANCED BIONICS SARL;Etablissement de santé;368;226729;
PERF NUT ASSISTANCE NORD;Professionnel de santé;365;;
ElsaLys Biotech;Professionnel de santé;363;;
TERUMO EUROPE NV;Professionnel de santé;361;0;74600
SANOFI CHIMIE;Association usager de santé;356;;
Ceva Santé Animale;Etudiant;353;;
Association pour le Développement de l’Enseignement et des Recherches auprès des universités des centres de recherches et des entreprises d’Aquitaine (ADERA);Professionnel de santé;352;0;20653
Lilly France SAS;Association professionnel de santé;352;890085;1321328
Laboratoires CYCLOPHARMA;Association d'étudiants;350;300;
MICRO-MEGA;Etudiant;350;;
PROTEOR;Professionnel de santé;350;;
Advanced Accelerator Applications;Académies, Fondation, sociétés savantes, organismes de conseils;347;0;238565
Atlantic Therapeutics;Professionnel de santé;347;2483;
SEPTODONT SAS;Etudiant;347;3247;2900
ADS CHAMPAGNE ARDENNE;Professionnel de santé;346;;
HANDI PHARM OCEAN;Professionnel de santé;346;;
SOS OXYGENE NORD JOLY MEDICAL;Etudiant;344;0;
air products;Professionnel de santé;340;;
sarl optique audioprotheses roussarie;Professionnel de santé;340;;
IPSEN CONSUMER HEALTHCARE;Etudiant;339;0;
SAM TECHNI-PHARMA;Etudiant;338;;
ALAIR & AVD;Association professionnel de santé;337;6000;
Medela France Sarl;Professionnel de santé;335;6546;
Alnylam France SAS;Etudiant;328;0;
BIOSERENITY;Académies, Fondation, sociétés savantes, organismes de conseils;322;0;33680
Laboratoires Expanscience;Etudiant;321;321;
REFERENCE SANTE;Professionnel de santé;320;0;11160
THERABEL LUCIEN PHARMA;Etudiant;319;;
EXPERF ISERE;Etudiant;318;0;
RADIOMETER SAS;Professionnel de santé;317;1405;
LCA S.A.;Etudiant;316;;
AbbVie Biopharmaceuticals SARL;Professionnel de santé;315;;
MORIA S.A.;Professionnel de santé;314;;
GXEL MEDICAL SARL;Professionnel de santé;313;;
LES LABORATOIRES SERVIER;Association usager de santé;310;0;3000
Laboratoires AUVEX;Etudiant;307;;
GAMIDA;Etudiant;306;;
medi;Etudiant;304;;
Jazz Pharmaceuticals, Inc;Etudiant;302;;
ALISEO;Association professionnel de santé;300;;
AUDEVARD;Professionnel de santé;300;0;
Health Advances;Professionnel de santé;300;0;9023
HYGIENE SANTE ENVIRONNEMENT;Etudiant;300;;
Julius Zorn GmbH;Association usager de santé;300;750;
MEDPERF SAS;Etudiant;300;;
SANTELYS ASSOCIATION;Association professionnel de santé;300;;
CRISTERS;Professionnel de santé;296;;
FAGRON;Professionnel de santé;296;;
ALLIANCE PHARMA FRANCE;Etudiant;293;;
VIVISOL France;Etudiant;290;3033;
InnOpath sarl;Professionnel de santé;288;576;
bioMérieux;Etudiant;283;;
SAS BIMEDA FRANCE;Vétérinaire;281;0;412
Clovis Oncology;Presse et média;280;;
LINDE FRANCE;Professionnel de santé;279;;
Laboratoires IPRAD PHARMA;Etudiant;278;;
AIR A DOMICILE;Professionnel de santé;267;0;
GW Research Limited;Etudiant;265;;
ASPEN FRANCE;Etudiant;264;104;
ISIS PERFUSION NORD;Professionnel de santé;259;;
Agfa HealthCare France SA;Presse et média;258;;
MEDAC SAS;Association usager de santé;258;1800;
Sinclair pharmaceuticals limited french branch;Etudiant;258;;
LABORATOIRE NUXE;Etudiant;256;;
AIR LIQUIDE MEDICAL SYSTEMS;Association professionnel de santé;255;;1250
Eli Lilly and Company;Professionnel de santé;255;;
ASPEN FRANCE;Etablissement de santé;252;8118;8118
BRAINEVER;Professionnel de santé;251;;8400
AGILENT TECHNOLOGIES FRANCE;Etudiant;250;;
CSA;Professionnel de santé;250;;
DJO France SAS;Association usager de santé;250;0;
BIOTRONIK AG;Etudiant;246;;
ISIS LORRAINE;Professionnel de santé;246;10804;
Regentis-Pharma;Professionnel de santé;246;0;1400
Alcimed SAS;Professionnel de santé;242;12550;
ISIS GUADELOUPE;Etablissement de santé;242;;
NOVO NORDISK;Editeur de logiciel;240;;
HANDI PHARM BRETAGNE;Professionnel de santé;237;;
COOPERVISION SAS;Etudiant;236;;
MYLAN MEDICAL SAS;Académies, Fondation, sociétés savantes, organismes de conseils;236;548144;7593777
substipharm;Professionnel de santé;233;0;18000
TEVA SANTE SAS;Etablissement de santé;233;;
A.MENARINI diagnostics;Professionnel de santé;231;;
AIR LIQUIDE SANTE FRANCE;Etudiant;230;;
SARL AUNIS AUDITION;Professionnel de santé;230;;
UPSA SAS;Association professionnel de santé;230;39000;15700
ASSISTANCE SANTE A DOMICILE POITOU CHARENTES;Professionnel de santé;227;;
HEMODIA SAS;Etablissement de santé;227;650;
PHOCEENNE D'ORTHOPEDIE;Professionnel de santé;227;;
HARMONIE MEDICAL SERVICE GRAND EST;Etablissement de santé;224;;
Glaukos France SASU;Etudiant;219;;
LSO MEDICAL;Etudiant;219;;
KARL STORZ ENDOSCOPIE FRANCE SAS;Etudiant;218;665;
E-HEALTH SERVICES SANOÏA;Professionnel de santé;217;6000;15069
Provepharm Life Solutions;Professionnel de santé;217;;
FUJIREBIO FRANCE SARL;Professionnel de santé;216;;
KODILNK;Professionnel de santé;215;;
CLARIANCE;Personnes morales assurant la formation initiale ou continue des professionnels de santé;214;0;13470
HILL-ROM S.A.S.;Professionnel de santé;214;;
S.O.S. OXYGENE GRAND OUEST;Etudiant;213;0;
FAGRON;Etudiant;210;;
SPINEART FRANCE;Etudiant;210;;
Sensome;Professionnel de santé;208;;
Laboratoier Innotech international;Professionnel de santé;207;20340;15540
SA LANDANGER;Professionnel de santé;207;;
Defymed;Professionnel de santé;204;;
TELEFLEX MEDICAL SAS;Presse et média;204;0;
Mathys Orthopédie;Etudiant;202;;
B.R.A. SAS;Etudiant;200;0;
RIVORTHO;Etudiant;195;;
BOSTON SCIENTIFIC SAS;Personnes morales assurant la formation initiale ou continue des professionnels de santé;194;0;166001
EFFICARE SARL;Professionnel de santé;192;99;
ARROW GENERIQUES SAS;Etudiant;185;0;
GENEWAVE S.A.S;Etudiant;182;;
TEXTILE HI-TEC;Professionnel de santé;182;;3540
SARL SOPHILMED;Professionnel de santé;181;;
Alivira France;Presse et média;180;0;23794
EUROS SAS;Etudiant;180;;
FORESTADENT;Professionnel de santé;180;5700;
SOS OXYGENE CHAMPAGNE ARDENNES;Professionnel de santé;180;;
COVETO LIMOGES;Vétérinaire;178;;
Association pour le Développement de l’Enseignement et des Recherches auprès des universités des centres de recherches et des entreprises d’Aquitaine (ADERA);Etablissement de santé;177;;2869
Laboratoires des Réalisations Thérapeutiques ELERTE;Etudiant;176;48;
PSI CRO FRANCE;Etablissement de santé;175;0;140359
THERADIAG SA;Etudiant;175;;
CORREVIO;Etudiant;171;46;
Agfa HealthCare France SA;Etablissement de santé;170;;
QUANTEL MEDICAL;Etudiant;167;;
IPSEN INNOVATION;Professionnel de santé;166;6720;20414
PROCTER & GAMBLE PHARMACEUTICALS FRANCE;Etudiant;164;;
LONGIMPEx;Vétérinaire Personne Morale;162;;
ISIS PARIS NORMANDIE;Etudiant;161;10418;
3-D Matrix Europe SAS;Professionnel de santé;160;0;3000
PHARMEVIDENCE;Etudiant;159;;
Codexial Dermatologie;Etudiant;158;;
PHARMA DOM;Personnes morales assurant la formation initiale ou continue des professionnels de santé;158;0;
Fondation Transplantation;Professionnel de santé;157;;
LABORATOIRES ANIOS;Etablissement de santé;154;40000;
LABORATOIRES ARION;Professionnel de santé;153;;
Alain Karas Distribution;Professionnel de santé;152;;
ISIS BAYONNE;Etudiant;152;;
Sociétés étrangères du groupe Novartis;Etablissement de santé;151;1008948;1046300
4 MED FRANCE;Professionnel de santé;150;;
ODY-C;Etudiant;150;;
LILIAL;Etudiant;144;;
PROTHEOS INDUSTRIE;Professionnel de santé;144;0;88150
ABLATECH;Professionnel de santé;143;;
HELLI SANTE;Etudiant;140;;
SOS OXYGENE CENTRE OUEST;Association professionnel de santé;136;;
AKCEA THERAPEUTICS FRANCE;Etudiant;134;;
Ceva Santé Animale;Professionnel de santé;134;;
Dexter;Etudiant;130;;
EPISKIN;Professionnel de santé;130;;
Cutting Edge;Etudiant;129;550;
Laboratoire PEDIACT;Etudiant;129;;
THERMO ELECTRON SAS;Professionnel de santé;129;;
BIOXIS PHARMACEUTICALS;Professionnel de santé;128;;
EDWARDS LIFESCIENCES CHINA;Professionnel de santé;126;;
GE Medical Systems SCS;Vétérinaire;125;1440;
FISHER & PAYKEL HEALTHCARE SAS;Etudiant;124;0;
Bristol-Myers Squibb (Taiwan) Ltd.;Professionnel de santé;123;10828;10828
SOS OXYGENE ANTILLES;Professionnel de santé;121;;
AOP Orphan Pharmaceuticals AG;Etudiant;120;0;
MERIAL;Groupement sanitaire;120;0;2620
PFM MEDICAL FRANCE;Etudiant;120;;
INTUITIVE SURGICAL LIMITED;Professionnel de santé;119;;
Viroa Conseil;Professionnel de santé;118;;
LDR Médical;Etudiant;117;;
SANTELYS ASSOCIATION;Etudiant;117;;
Jazz Pharmaceuticals UK Limited;Professionnel de santé;116;;17092
Otsuka Pharmaceutical France SAS;Association professionnel de santé;116;520;
NYXAIR S.A.S.;Professionnel de santé;115;;
UPSA SAS;Académies, Fondation, sociétés savantes, organismes de conseils;115;312391;188278
ALBYN MEDICAL;Professionnel de santé;113;;
ALAIR & AVD;Professionnel de santé;110;;
LivaNova USA Inc;Professionnel de santé;110;;
SAS BIOVAS;Professionnel de santé;110;;
SEPTODONT SAS;Professionnel de santé;109;;
PRODAREV;Professionnel de santé;106;;
FX SOLUTIONS;Etudiant;105;;
Leica Microsystèmes SAS;Professionnel de santé;105;3000;
SOS OXYGENE MOR-BIHAN / PENN AR BED  ;Professionnel de santé;104;;
Dynavie;Professionnel de santé;102;;
COORDIPERF 44;Association professionnel de santé;100;;
Labvoratoire CHAUVIN;Association professionnel de santé;100;31060;
IPSEN INNOVATION;Vétérinaire Personne Morale;98;;16550
Atlantic Therapeutics;Académies, Fondation, sociétés savantes, organismes de conseils;97;194734;117462
EUSA Pharma (France) SAS;Académies, Fondation, sociétés savantes, organismes de conseils;97;52630;146806
Ultradent Products GmbH;Etablissement de santé;97;97;
Rhythm Tx;Etudiant;96;;
Rhythm Tx;Professionnel de santé;96;3600;
substipharm;Académies, Fondation, sociétés savantes, organismes de conseils;95;0;642132
PROVEPHARM;Etudiant;94;0;
FSK;Etudiant;93;0;
LivaNova UK limited;Professionnel de santé;92;;
AXIS Santé;Professionnel de santé;90;32600;
OBL;Etudiant;90;;
Ventana Medical Systems, Inc.;Professionnel de santé;89;12270;6200
SEPRODOM REUNION;Etudiant;88;;
BOIRON OCEAN INDIEN;Professionnel de santé;82;0;
BIOCYTEX;Professionnel de santé;81;;
PROSTEEL;Professionnel de santé;81;;
BioCryst Pharmaceuticals Inc.;Professionnel de santé;80;;
DIASORIN SA;Etudiant;80;80;
SOS OXYGENE NORD JOLY MEDICAL;Etablissement de santé;80;;
BOIRON CARAIBES;Etudiant;79;0;
ViiV HEALTHCARE SAS;Presse et média;79;770451;408619
SOFRADIM PRODUCTION;Professionnel de santé;76;982;
HANDI PHARM PERCHE;Professionnel de santé;74;;
LABORATOIRES ANIOS;Etudiant;74;249;
Dominos SANTE;Professionnel de santé;72;72;
R'SUD MEDICAL;Etablissement de santé;72;;
SUBLIMED;Etudiant;72;;
INTUITIVE SURGICAL DEUTSCHLAND GmbH;Professionnel de santé;70;;
ISIS GUYANE;Professionnel de santé;70;;
ENTRAD;Association professionnel de santé;69;;
Dompé France SAS;Professionnel de santé;68;9500;14750
EXPERF VAUCLUSE DROME;Etudiant;68;;
IQVIA Solutions UK Ltd;Professionnel de santé;68;4449;3125
NEURAXPHARM FRANCE;Professionnel de santé;67;0;
HIPRA FRANCE;Etudiant;66;;
LABORATOIRES ANIOS;Association professionnel de santé;66;2255;
ADS LORRAINE;Etudiant;65;;
EYETECHCARE;Professionnel de santé;65;;
POLARIS MANAGEMENT;Professionnel de santé;63;1200;
FINOX AG;Professionnel de santé;60;0;1500
ZENTIVA FRANCE;Etudiant;60;60;
ZEPHYR MEDICAL;Professionnel de santé;60;;
EDWARDS LIFESCIENCES CANADA;Professionnel de santé;58;;
EDWARDS LIFESCIENCES REPUBLIQUE TCHEQUE;Professionnel de santé;57;;
MOVE-UP;Etudiant;57;;
Align Technology SAS;Professionnel de santé;55;;
SAMSUNG ELECTRONICS FRANCE;Etudiant;55;;
adam sante;Professionnel de santé;54;;
Centre d'Audition Bruant;Professionnel de santé;54;2129;
INTERVET;Professionnel de santé;54;;
Zimmer Spine SAS;Professionnel de santé;54;;
MENICON SAS;Etudiant;52;0;
PERF NUT ASSISTANCE LANGUEDOC ROUSSILLON;Professionnel de santé;52;;
BIOTOPIS;Vétérinaire;50;;
LABORATOIRES NIGY;Etudiant;50;;
PROCTER & GAMBLE FRANCE;Académies, Fondation, sociétés savantes, organismes de conseils;50;;
EUROPHTA;Professionnel de santé;47;;
MED'OUEST SPINE;Etudiant;47;;
Second Sight Medical Products, Inc.;Professionnel de santé;47;20554;
Agfa HealthCare France SA;Association usager de santé;45;;
Cellnovo Group SA;Professionnel de santé;45;0;15100
HIPRA FRANCE;Groupement sanitaire;43;;
Laboratoires BESINS INTERNATIONAL;Etudiant;43;;
SIEMENS HEALTHCARE SAS;Etudiant;43;;
Laboratoire français du Fractionnement et des Biotechnologies;Professionnel de santé;42;;66000
medi;Association professionnel de santé;41;;
Alivira France;Vétérinaire;40;;
HORMETA FRANCE;Professionnel de santé;40;;
LES LABORATOIRES OSTEAL MEDICAL;Etudiant;40;;
SYSMEX FRANCE;Editeur de logiciel;39;;
BRISTOL-MYERS SQUIBB COMPANY;Etudiant;38;;
EQINOX HEALTHCARE FRANCE;Etudiant;34;;
newbone;Etudiant;32;;
WOO YOUNG MEDICAL FRANCE;Professionnel de santé;32;;
Accuray Europe;Etudiant;30;;
AMO FRANCE SAS;Etudiant;30;;
Dômes Pharma;Vétérinaire;30;;39071
Lilly France SAS;Personnes morales assurant la formation initiale ou continue des professionnels de santé;30;96394;156553
MERIAL;Professionnel de santé;30;;
SCHWA-MEDICO FRANCE;Professionnel de santé;30;;
SOS OXYGENE BASSIN PARISIEN NORD;Professionnel de santé;30;;
UNITHER PHARMACEUTICALS;Professionnel de santé;30;800;
KANOPEE ASSOCIES;Professionnel de santé;27;;
OBJECTIF PHARMA;Etudiant;27;;
PERF NUT ASSISTANCE LANGUEDOC ROUSSILLON;Etudiant;26;;
CARESTREAM DENTAL FRANCE;Etudiant;25;;
EBR Systems, Inc;Etudiant;25;;
LABORATOIRES BROTHIER;Vétérinaire;25;;
SYSMED AVESNOIS;Professionnel de santé;25;;
Zoetis France;Etudiant;25;;
IPSEN PHARMA;Etablissement de santé;24;393048;713609
ViiV HEALTHCARE SAS;Etablissement de santé;24;;14615
Carl Zeiss Vision France;Etudiant;23;;
EXACTECH INTERNATIONAL OPERATION Ltd.;Etudiant;23;;
Spectrum Dynamics Medical SA;Etudiant;23;;
ALAIR & AVD;Etudiant;22;;
ALCYON FRANCE;Académies, Fondation, sociétés savantes, organismes de conseils;22;9960;12984
STENTYS S.A;Professionnel de santé;22;;21000
Vertex Pharmaceuticals Incorporated;Etudiant;22;;
ARAIR Assistance S.A.;Etudiant;21;;
EDWARDS LIFESCIENCES JAPON;Professionnel de santé;20;0;
Elanco France SAS;Etudiant;20;0;
FujiFilm SonoSite France SARL;Etudiant;20;;
Innothera Services;Professionnel de santé;20;12000;15000
AbbVie AG;Professionnel de santé;19;;
ALCYON FRANCE;Vétérinaire Personne Morale;19;;
RESPIO2;Etudiant;19;;
HIPRA FRANCE;Presse et média;18;;
ENTRAD;Professionnel de santé;17;;
BIOSYNEX;Etudiant;16;;
WINNCARE FRANCE;Professionnel de santé;16;;
PROCEPT BioRobotics Corporation;Académies, Fondation, sociétés savantes, organismes de conseils;15;0;169344
OBIONE;Etudiant;13;;
MEDICO FRANCE;Professionnel de santé;12;;
WOO YOUNG MEDICAL FRANCE;Etablissement de santé;11;;
Alnylam France SAS;Académies, Fondation, sociétés savantes, organismes de conseils;10;280678;684922
IPSEN CONSUMER HEALTHCARE;Académies, Fondation, sociétés savantes, organismes de conseils;10;120323;50161
3M France;Académies, Fondation, sociétés savantes, organismes de conseils;;2000;
3M France;Association d'étudiants;;1000;
3M France;Association professionnel de santé;;139752;
3M France;Personnes morales assurant la formation initiale ou continue des professionnels de santé;;123416;
3M France;Presse et média;;22404;
42 market research;Professionnel de santé;;0;
4SC AG;Etablissement de santé;;;11777
4SC AG;Personnes morales assurant la formation initiale ou continue des professionnels de santé;;;2335
A.L.A.I.R.;Académies, Fondation, sociétés savantes, organismes de conseils;;1000;
A.L.A.I.R.;Association professionnel de santé;;300;
A.L.A.I.R.;Association usager de santé;;11100;
A.V.D.;Académies, Fondation, sociétés savantes, organismes de conseils;;5000;
AADAIRC;Association professionnel de santé;;10300;
AADAIRC;Etablissement de santé;;30000;
AADAIRC;Etudiant;;502;
AbbVie;Association d'étudiants;;24200;564
AbbVie;Presse et média;;670678;452504
AbbVie AG;Académies, Fondation, sociétés savantes, organismes de conseils;;;20000
AbbVie Biopharmaceuticals SARL;Académies, Fondation, sociétés savantes, organismes de conseils;;;8754
AbbVie Inc. Headquarters;Académies, Fondation, sociétés savantes, organismes de conseils;;60000;176265
AbbVie Inc. Headquarters;Association professionnel de santé;;;62049
AbbVie Inc. Headquarters;Etablissement de santé;;;108744
ABIVAX;Académies, Fondation, sociétés savantes, organismes de conseils;;0;7506343
ABIVAX;Professionnel de santé;;0;
abmedica;Association professionnel de santé;;0;
abmedica;Etudiant;;200;
Accuray Europe;Académies, Fondation, sociétés savantes, organismes de conseils;;0;28380
Accuray Europe;Association professionnel de santé;;0;20080
Accuray Europe;Association usager de santé;;0;28000
Accuray Europe;Etablissement de santé;;0;202314
Accuray Europe;Personnes morales assurant la formation initiale ou continue des professionnels de santé;;0;9741
Actelion Pharmaceuticals France;Etablissement de santé;;4000;
ACTION-COEUR;Association professionnel de santé;;;10970
ACTION-COEUR;Etablissement de santé;;;58144
Ad Scientiam;Professionnel de santé;;0;7200
ADARE PHARMACEUTICALS SAS;Professionnel de santé;;1300;
ADDMEDICA;Presse et média;;0;2436
Adept Field Solutions;Professionnel de santé;;0;
Adiral Assistance;Académies, Fondation, sociétés savantes, organismes de conseils;;488;
Adiral Assistance;Association professionnel de santé;;112900;
Adiral Assistance;Etablissement de santé;;31000;
Adler Ortho srl;Professionnel de santé;;0;209119
ADLIVA;Association professionnel de santé;;0;9825
ADLIVA;Professionnel de santé;;0;54910
ADVANCE SAS;Professionnel de santé;;;6508
Advanced Accelerator Applications;Etablissement de santé;;45365;
Advanced Accelerator Applications US;Professionnel de santé;;0;1869
ADVICENNE;Etablissement de santé;;0;
ADVICENNE;Presse et média;;54000;
Aerie Pharmaceuticals, Inc.;Académies, Fondation, sociétés savantes, organismes de conseils;;49446;49446
Aerie Pharmaceuticals, Inc.;Etablissement de santé;;;5600
Aerie Pharmaceuticals, Inc.;Personnes morales assurant la formation initiale ou continue des professionnels de santé;;10998;10998
Aerie Pharmaceuticals, Inc.;Professionnel de santé;;5000;2165
AGIR à dom Assistance;Académies, Fondation, sociétés savantes, organismes de conseils;;10450;
AGIR à dom Assistance;Association professionnel de santé;;7300;
AGIR à dom Assistance;Etudiant;;3262;
AGIR à dom Assistance;Professionnel de santé;;116007;
AGIR à dom. Association;Académies, Fondation, sociétés savantes, organismes de conseils;;38500;
AIR DOMICILE SANTE ALPES;Association professionnel de santé;;1000;
AIR LIQUIDE SANTE (INTERNATIONAL);Académies, Fondation, sociétés savantes, organismes de conseils;;2073344;
AIR LIQUIDE SANTE (INTERNATIONAL);Association professionnel de santé;;35000;
AIR LIQUIDE SANTE (INTERNATIONAL);Association usager de santé;;9900;
AIR LIQUIDE SANTE (INTERNATIONAL);Etablissement de santé;;12365;
